school_zone,public_school_enrollment,private,total
162,3555.8234518174741,8240.0447544438684,11795.868206261342
163,7641.2998758511612,2222.8225663395997,9864.122442190761
164,778.59846963978237,0,778.5984696397824
165,482.87152503578471,2376.6099753771773,2859.481500412962
166,4567.4230072296596,8946.1629989055546,13513.586006135214
167,1434.7463185082406,5973.835169058204,7408.581487566445
168,3881.013170012206,2504.2377586271286,6385.250928639334
169,4726.3843752395851,36676.399766067087,41402.78414130667
170,11558.451489064533,2278.7013668501827,13837.152855914715
171,4770.7906059890038,6515.2077552318406,11285.998361220843
172,5974.5843225529225,1464.89291005529,7439.477232608213
173,1528.858026201262,1921.5468694135282,3450.40489561479
174,9286.2123225831238,0,9286.212322583124
175,401.90716283446068,898.55892798320895,1300.4660908176695
176,7840.5989384684208,3891.058303659624,11731.657242128043
177,761.8315640695381,0,761.8315640695381
178,3906.9563109396281,29.640572914927802,3936.596883854556
179,-,-,0
180,12120.01458991387,1674.635141713838,13794.649731627707
181,7479.1842971240858,4192.1404767003842,11671.32477382447
182,8098.6217755830912,3812.1005185563545,11910.722294139448
183,5184.6070375466279,329.15461703610583,5513.761654582734
184,3190.0241060713424,315.92450747079602,3505.9486135421384
185,8236.4445596214773,0,8236.444559621477
186,2305.8640733373913,0,2305.8640733373913
187,7234.48224180531,0,7234.48224180531
188,9149.9964011431348,17736.181552305483,26886.17795344862
189,7828.500663563128,3149.9895735927312,10978.49023715586
190,3351.3150637480758,3397.023663969288,6748.338727717364
191,4964.7953769210071,1293.9770591766087,6258.772436097615
