residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
194,37683959.73941409,4187.571923481957,1416.264271625605,3189.4774544825377
195,79930017.55327809,5509.375348309753,1979.053618730269,5024.091899104776
196,50935755.27998972,4211.306761470834,1515.945097618742,3410
197,42113899.776244774,5091.754295278051,1800.1239485464746,4233.86783394358
198,46763439.823572926,4940.0898927420185,1796.5899505771615,4500
199,139592987.2321059,4115.844652438552,1401.0577436628653,3540.4177229514085
200,37656732.40973673,3297.1484466978895,1141.4589999920192,3077.891304199693
201,121847269.0963086,5010.37333345568,1762.6071416671505,4378.440990542798
202,125389168.81664205,4686.108992172998,1670.986671152894,4072.449743720766
203,82618237.90414166,4556.739170709937,1557.1893452982051,3798.565
204,136992376.6524147,3458.617401409143,1186.903280648196,2700
205,120805213.63627636,3600.4295781681567,1238.913470923467,3301.063604765382
206,58290589.182559766,4105.138743875437,1477.8811719121684,4000
207,89692063.58019029,3563.7342490539686,1221.2140183836918,3250
208,125342006.35846472,7309.85049037528,2776.0012038993777,5779.081274591074
209,132961381.25110362,8510.617759143805,3216.133260391456,6647.525771628534
210,115846394.78813653,8806.263381842386,3396.1594438197812,6000
211,147296458.7043957,6416.1893411332285,2440.0566329456246,5334.189832581453
212,77570313.92108297,5013.269173468818,1787.457979147936,4072.449743720766
213,114869632.55930984,6520.0154705023215,2373.192416984687,6400
214,53832729.36231506,5503.243647752519,2057.275551737496,4183.86783394358
215,87784913.93763758,5805.880551431062,2186.0970698684514,4842.216118682415
216,104486608.82096794,7109.867230604786,2624.764088147306,4410
217,59799987.0648868,5072.52413817005,1866.416575058888,4683.86783394358
218,98617379.87742424,3951.0168220121855,1496.2430568566874,3077.891304199693
219,121953617.11163948,7069.365086756673,2486.869983312049,6089.540637295537
220,76752453.62014446,6145.465156341804,2170.171448529547,4308.86783394358
221,86499006.5629407,4336.224511877912,1554.3397405739572,3797.12697292281
222,119185934.86771984,6934.656127754689,2493.5339317067646,4200
223,46738831.9887119,4469.604399400964,1626.6037442998504,3540.4177229514085
224,,,,
225,73913847.63536602,4554.4301950438085,1571.8992734329877,4367.73566788716
226,134821609.23410895,4406.0789317987155,1597.2799558580336,3798.563486461406
227,92837433.53856394,4096.0703083416765,1448.977439692904,3000
228,53126182.76486575,3177.7833930413753,1107.6954768429723,2630
229,174289732.5742149,3629.989952358485,1298.9248216888889,3270.5318023826912
230,71344653.78211129,3136.8560403671863,1100.6240748837013,3301.063604765382
231,59007390.05367084,3462.135075185342,1200.6549882731204,3088.9456520998465
232,54685359.7219148,3386.3816117466795,1167.7669760600218,2900
233,87638822.18310292,4324.693890034527,1525.6127109949157,3540.4177229514085
234,80913245.61705945,3137.355670623762,1067.0066148467592,2760
235,92230658.40682003,3427.502263436768,1213.6571098615682,3000
236,42533914.13819721,8527.248223375544,3523.3527284788947,7129.525775169853
237,38820340.60347651,8025.107493515296,3502.376452857859,7745.5
238,63010970.16135253,7556.178218173931,3146.9295390976654,6089.540637295537
239,41818005.74385026,7115.536114318583,2832.4306247527943,6000
240,80176117.32303385,9819.487730928806,3919.442575431843,7129.525775169853
241,25590445.769914024,5986.069185944797,2355.527040676918,5012.045949552388
242,45655757.45394312,4055.956713613263,1527.1016307302773,3797.1284864614054
243,130639646.77501132,7078.821282850798,2852.7677594228794,5700
244,100922125.75466324,4160.021671667895,1502.264450054529,4367.73566788716
245,43816882.235668875,4621.059084124538,1747.0149609532657,4742.215
246,72219321.15203619,6356.775033186886,2391.6850295415356,5388.379665162906
247,175357647.15388465,4694.355431773118,1759.188282158933,3950
248,,,,
249,72091101.0715015,4964.609949142723,1842.8195570424723,4050
250,95626658.91392666,12635.657890318029,4808.259197200658,9433.288100955418
251,60706192.92658619,5967.9702051303675,2425.240418943957,4500
252,55340028.31344116,6854.10308563802,2551.8780924763046,5779.081274591074
253,8664742.161425859,4214.368755557323,1545.6193652204538,3700
254,121461692.81299324,8556.65324501538,3454.7384041468,6647.525771628534
255,168247537.5864736,6235.085146252355,2490.63739913657,4930
256,71918369.64592388,6275.475461043217,2579.2909531228297,4854.262068234802
257,113330516.05174395,6403.657988860471,2552.8915831717586,5388.379665162906
258,107057688.30383992,4160.003431274132,1547.2552940201165,4200
259,51650325.73321053,4175.9503750821,1488.4391151036157,4072.449743720766
260,74890440.8258255,4881.718325130405,1730.5305671925653,4220.092705803963
261,75054657.53854051,3906.858442482981,1403.4416787625146,3301.063604765382
262,113750309.97340992,3990.6788511580767,1436.6766441018722,3658.563486461406
263,78520746.7635609,3589.5198520484987,1252.1248088592074,2869.806830378052
264,127766665.95403618,5382.186329865997,1986.854507418222,5024.091899104776
265,63071509.460021734,4098.4800480877175,1472.326193100091,3823.565
