work_zone,external_work_jobs,internal_work,total
505,2327.517250901857,23282.065650954148,25609.582901856003
506,2809.087527665261,12667.832573253314,15476.920100918574
507,1689.9225747524774,7455.573055667067,9145.495630419544
508,660.6403489520271,13844.873670374673,14505.514019326698
509,3498.708802657116,26550.002484088756,30048.71128674587
510,1143.5937803128213,13448.824810567648,14592.418590880468
511,2679.602181911123,14642.463816415942,17322.065998327067
512,4335.65131258522,14030.034443504488,18365.685756089708
513,1046.2449223104716,12728.63751714264,13774.882439453111
514,1010.988068583709,24378.98010164894,25389.96817023265
515,246.30794668150895,1295.4392947723084,1541.7472414538174
516,4570.710910067341,37185.40026198624,41756.111172053585
517,1374.2121001133971,25086.76945463084,26460.98155474423
518,5256.1139992743965,48394.436961076906,53650.550960351306
519,132.897938095909,2069.7308624965044,2202.6288005924134
520,0,100.610821473862,100.610821473862
521,2387.22303717771,20455.09124100451,22842.31427818222
522,2274.9037369652883,23656.548482027498,25931.45221899278
523,40.9220390933221,1001.5502592684312,1042.4722983617532
524,3630.731408182012,20861.19405115211,24491.92545933412
525,2603.995207526094,33628.67788575851,36232.67309328461
526,3061.800982380354,61296.13845199934,64357.93943437969
527,359.2670130389,4999.489046776772,5358.7560598156715
