origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
310,27712.063393892749,0,0,0,0,0,0,0,0,27712.06339389275
311,18561.44174369489,0,0,214.39705372205253,0,0,0,0,0,18775.838797416945
312,43584.769977100907,0,0,0,0,0,830.4392533282853,0,0,44415.209230429195
313,23421.692832482891,1905.8885308130218,0,0,0,0,688.29245642547335,0,0,26015.873819721382
314,10189.495727159505,0,0,0,0,0,0,0,0,10189.495727159505
315,32397.652865966891,4240.4907331684153,0,5108.0763081054347,0,0,252.08819702694575,0,0,41998.308104267686
316,52908.347453083952,2908.1306442978948,692.33385130434613,0,0,0,519.79972206790535,0,0,57028.6116707541
317,4487.9269811311706,0,0,0,0,0,399.52264057669646,0,0,4887.449621707867
318,519.2414641556968,0,0,0,0,0,33.227254762561387,0,0,552.4687189182582
319,4415.0848014086569,0,0,0,69.444628309499194,0,245.88586006749748,0,301.20466104511729,5031.619950830771
320,1628.0915099087467,406.29094914998501,0,0,0,0,24.738294835741101,0,0,2059.1207538944727
