origin_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
142,5541.3751454728672,5432.3121357463033,29185.884354675676,24505.20457886274,1682.6037609484069,2103.152258958683,197.4068856946208,0,2057.7836358631748,0,70705.72275622247
143,-,-,-,-,-,-,-,-,-,-,0
144,2945.6075826565402,16639.839279913813,57862.462101697565,65018.928328932008,18450.728436293863,4866.6277917958778,7131.823220364241,0,7117.1401083950841,655.31723976823127,180688.47408981723
145,31.963362061745702,690.65321038946377,3470.8713857663047,7182.9502308196743,717.93655250702329,194.80869603467434,733.58035251898468,0,190.65488773826206,151.05648144736131,13364.475159283493
146,-,-,-,-,-,-,-,-,-,-,0
147,2692.2994522921713,6285.8281312284489,16461.577365717123,14065.622075753628,855.47159602871534,2325.4572726828574,436.4447146676369,0,2149.0790455946344,0,45271.77965396522
148,1050.093483181457,2120.4939767254605,14340.882677617567,12648.043695485951,362.91628558509632,2842.8572850274131,185.3176825113473,0,2269.0371661590498,0,35819.642252293335
149,0,0,0,0,0,0,280.00685782011203,0,0,0,280.00685782011203
150,6091.4042168906963,2672.9803572062206,23185.850242433586,21280.561694592347,478.79796999583328,2886.6447355172054,2830.1032816090228,0,684.19849228038538,1231.7382613895279,61342.27925191482
151,8383.1500371082038,5649.7398271200764,44698.402210850531,26257.496309455706,2599.680214612903,1492.050536478675,8929.2663403836941,0,4491.6352957398158,169.30543149364729,102670.72620324326
152,2024.322651570649,9407.8628073170112,13096.511952723806,18510.781893660136,4198.4283510259256,5905.0750974953207,3525.6951410631596,604.36146739766741,3728.8434875278167,0,61001.88284978149
153,1573.9798962029063,1367.7741070145237,9687.9962964986371,7260.7799864709114,4000.2149898020702,2998.282761027675,2766.4294625977382,0,597.35358221215574,368.76673819355312,30621.57782002017
154,4068.4264556279782,8222.6516742193817,32273.268229348938,39383.59961017278,3481.58402949329,1755.0923800824803,4373.9528854988539,0,6527.3806766045045,1090.9411559272544,101176.89709697546
155,1861.2234257866837,946.06439265644917,13038.759470382569,12745.638790151552,1852.824293822709,2529.4471572559514,1079.5648799870683,0,1341.4510259693654,583.60820676737876,35978.581642779725
156,4939.0247664551798,9959.2687157204473,15361.298113261884,37867.856236490894,9279.1016559633754,1176.5638210485322,4035.260817207949,224.03492100267525,3535.4762821091663,609.41539677982712,86987.30072603995
157,1312.0618264606017,2200.7976733146788,6183.4327028863063,8690.7826098598034,687.87963752356927,946.14421587469019,654.49379716576971,0,358.30470176824866,0,21033.897164853668
158,1140.8182058589719,7009.0170201368219,15101.53973956421,25457.937560525639,687.37207994332277,3946.0092899642045,472.9992245452114,0,4010.1505738686997,21.118070256532718,57846.96176466361
159,8583.7630050302432,10444.9721203811,29490.843813911742,36066.34650966445,3319.1508888722847,9523.006370462128,2789.9882472040949,0,4001.8472103118729,0,104219.91816583792
