work_zone,formal_employee_jobs,informal_employee,public_employee,independent_professional,self_employed,employer,family_business_owner,family_worker,total_jobs
75,9023.1421015217,0,254.22314198319935,661.1512912090666,3472.9715934343185,380.93544794222,1299.6267071790446,279.6225481939037,15371.672831463453
76,11643.119965565498,0,0,288.6610428193707,2846.534097200229,450.0359604830449,21.5981157232313,18.1100024171956,15268.059184208569
77,27046.72978178619,1658.5529986509891,6637.561952244322,1005.9326224181412,5921.609829025737,1071.118173116909,299.43197160938917,0,43640.93732885168
78,15210.549550702117,676.5398019477498,154.6066157123775,405.0111182116402,9035.087838570087,264.4382348491587,0,0,25746.23315999313
79,34849.31611035912,156.99406722521258,2473.139780449612,1967.5721899566436,4552.419678760854,78.1395015674544,1038.1478833602926,0,45115.729211679194
80,20200.48315627299,2772.964754628647,705.8876418962365,823.529916407639,5770.940822324898,417.68554546646345,345.77430446574294,0,31037.266141462613
81,38258.109910526815,816.725839536139,0,1298.941248514809,5226.681454131329,415.68094239445605,630.4074187374422,0,46646.54681384099
82,52238.4222663337,3092.095825657775,1023.7888625904408,2247.994586331029,11644.86111237692,995.5619393961152,1299.25488039545,68.1921292991235,72610.17160238053
83,17730.317763028757,3641.696459926786,201.85789214984683,785.0916806460207,10521.194283758585,549.1120581791164,285.26199272006437,0,33714.53213040918
84,10445.944820982892,54.16076552865746,348.594612776257,2006.4009385472605,2600.3941530659295,109.842906945338,49.1437784491282,49.1437784491282,15663.625754744588
85,1667.0366626731968,133.8086840341959,0,524.403805261637,1846.6834025957933,61.3333333333334,320.47790169889504,0,4553.743789597051
86,2955.1584523603533,28.873216010030397,15.3416106037689,0,718.992167717913,0,0,0,3718.3654466920657
87,5160.433798066817,1162.1584679782047,0,393.2325535062658,4822.152451677302,157.7505111424969,51.5557351222363,0,11747.28351749332
88,9237.303865021844,1242.4484145079136,0,1192.2718509374872,11089.921459810044,488.47691157088,78.2617646877701,37.2675069941762,23365.951773530116
89,1321.300583071858,270.025895425409,0,30.6621690036018,2894.0595835015893,82.4983257753807,0,82.4983257753807,4681.04488255322
90,4771.054133942671,318.49205498852876,0,196.31332350554,2214.4861593233836,51.3633785889322,0,0,7551.709050349056
91,20664.507367122365,1108.528800774223,133.897882981913,251.010667018087,4806.247395731473,231.141547311078,0,0,27195.33366093914
92,15027.633964875273,637.8530076084705,1353.5941197585726,390.9548368547948,2413.5300100784357,0,0,0,19823.565939175547
93,25672.99509032659,125.27748933717068,258.605750638796,911.5528986780001,3462.5562033562346,441.08905524534254,0,0,30872.076487582133
94,14499.692443854112,21.0852930771793,0,399.3466424027686,3445.001049488227,0,207.13466396124664,40.9723484960304,18613.232441279564
95,4509.121851791728,532.4823582342372,365.420109236166,1189.4813809340208,2133.9209520508375,198.2394261671855,75.4595897771195,0,9004.125668191295
96,7508.94628422153,319.6966560717373,1655.3787210106543,254.68189465579096,1953.6920798904184,113.2069004188989,0,24.8106761940371,11830.413212463069
97,6607.022192570661,35.2200344710374,0,1449.3714957570378,2657.3992893512686,53.6831474860342,165.1730201961954,0,10967.869179832232
98,3279.0031492336634,466.8633611123614,215.48552221639105,93.5585662005283,2609.3869510533905,0,0,0,6664.297549816334
99,23394.30758739716,141.8393439670343,488.3914080479333,110.71376408945552,1588.3033572943948,0,0,0,25723.555460795975
100,36305.521198940805,3616.316404485233,1449.4910789912756,2294.2115667060966,10652.527430784292,500.6746334297786,376.7385784164552,30.3006981603773,55225.78158991431
101,7793.863542256409,69.2015138941359,600.0033505174554,168.424568632724,2867.083053027303,269.467836601989,221.88302244121545,72.37778328874988,12062.304670659982
102,6422.805635682764,66.3897440692144,173.3106784649333,50.2637107268775,3796.087861403536,36.7981039650923,69.0482715616662,0,10614.704005874084
103,4187.205453276901,328.35544434598023,0,41.752408034143215,689.8768452376231,0,17.7489049638885,0,5264.939055858537
104,1703.5150646790785,78.8433122668782,0,123.4940348046607,2165.4025569798764,0,0,0,4071.2549687304936
105,7320.694397188257,535.7855285105002,0,359.5180533687502,3570.402600764376,52.8769258479407,0,0,11839.277505679827
106,17485.425371297617,1416.2505477325333,251.76779537496049,0,7235.329970110581,458.2720365099336,69.3955130915527,18.3495899978122,26934.79082411499
107,9990.354312892687,873.5946780421369,95.1526154623297,717.4549844150823,3636.771097541552,0,367.8642841339696,123.9473860302912,15805.139358518049
108,11446.049750123251,113.5567055395242,742.815184570757,308.2515767598936,2670.486466435863,492.113853576618,130.6538149039969,33.7574449991188,15937.684796909023
109,14060.186334671667,3064.4203604893796,1169.24494090771,2052.105153206226,22605.36878600712,36.7981039650923,724.5600429971499,655.875187407139,44368.55890965149
110,13286.727793615108,3933.6653547939686,154.302815854626,0,7229.33276145276,139.064766358185,0,281.58564726383503,25024.679139338477
111,7648.467126809299,3261.947989471593,596.5971135944784,302.343772432857,5220.479063950716,341.825335327444,49.245887309861,0,17420.90628889625
112,12756.069770593684,931.576940253012,31.590509197547295,164.956471992746,6339.479938540235,0,280.134129008145,0,20503.80775958537
