zone,name,households,families,population,school_enrollment,jobs,private_cars,trips_produced,trips_attracted,area_ha
147,Parque Palmas do Tremembé,10419,10623.294117647058,29294.999999999989,3919.0283153605278,9574.14705696622,7763.176470588245,45271.779653965234,45222.866259265924,407.03
148,Tremembé,7635,7635,20985.999999999971,4078.3068440610787,8075.741012584277,9132.0588235294,35819.642252293328,36572.835302982603,331.62
149,Cantareira,,0,-,-,0,0,280.00685782011203,280.00685782011203,2886.45
150,Jardim das Pedras,17291,17291,51675,11503.388929010582,15498.233581698389,8991.32,61342.279251914777,60447.707402740969,1609.01
151,Jardim Guapira,34997,34997,99491.000000000087,14077.136774063772,17182.64043898679,13362.490909090911,102670.72620324325,99376.162057237612,548.53
152,Parada Inglesa,14294,14294,35826.000000000022,3959.2803753383196,11810.03986550032,9809.607843137273,61001.882849781548,60827.483189969898,242.67
153,Tucuruvi,6530,6660.6,17056.999999999996,3631.6859836369217,8112.783807259183,6660.600000000001,30621.577820020186,30466.204527204492,358.5
154,Vila Gustavo,19197,19197,49150.000000000022,18266.522192733428,27154.9868844199,13509,101176.8970969755,101372.72496082986,345.8
155,Cohab Jova Rural,9883,9883,29948.000000000004,1983.9388096224457,7067.307003723059,3111.3148148148225,35978.58164277974,35840.754342708984,254.58
156,Jaçanã,15387,15387,42509.999999999985,12298.73849092051,18322.92071321532,10741.8679245283,86987.300726039801,87656.471088123668,386.23
157,Parque Edu Chaves,5949,5949,17041.000000000011,4599.2112856044132,3544.7334898428794,3432.11538461538,21033.897164853661,20897.552466119527,109.91
158,Vila Medeiros,20362,20362,55364,9937.1829781980414,16891.955616826042,11355.730769230768,57846.961764663632,57988.449464149257,335.02
159,Jardim Brasil,22586,22586,62430.999999999905,8054.5265825630158,23169.194432547974,10858.653846153851,104219.91816583795,102057.36574934526,454.37
160,Jardim Japão,19114,19114,47434.999999999993,6356.5702569790174,17675.641592941854,13379.799999999996,66959.445960251207,67419.109441729655,396.23
161,Parque Novo Mundo,17647,17647,47849.000000000073,6276.9223596567681,35102.708578764796,6352.919999999998,91555.544484604005,91480.123513030761,551.36
162,Vila Maria,6189,6189,15956.000000000005,11795.868206261344,25783.793493709807,2846.9399999999996,44071.441653660309,44272.447468159073,234.12
163,Vila Isolina Mazzei,16284,16284,42336,9864.1224421907609,25196.4092158331,11922.214285714268,77086.003362011586,76855.080260950373,379.5
164,Vila Guilherme,3261,3261,8042.9999999999982,778.59846963978237,18500.856390790665,1695.7200000000005,21904.15122008666,21513.867434248168,170.9
165,Coroa,1325,1325,3515.0000000000009,2859.4815004129628,9489.088492055225,848,19995.634979519979,20316.888366645857,174.39
166,Gomes Cardim,12914,12914,30940.000000000007,13513.586006135218,36327.00783809368,13157.660377358514,107729.49775358516,107428.73287975506,243.24
167,Tatuapé,6301,6301,15559.000000000002,7408.5814875664437,36914.24215543021,5937.480769230774,102806.05679200128,102819.79485219657,156.88
168,Chácara do Piqueri,10658,10658,25381.000000000011,6385.2509286393342,26525.455720094957,9352.938775510216,73783.950387386751,73069.144337234611,198.59
169,Parque São Jorge,11758,11758,29171.000000000004,41402.7841413067,23461.259203530095,7906.241379310328,101974.7481042845,101808.51987285381,252.07
170,Penha,15419,15419,42166.999999999942,13837.152855914719,34374.70400330226,9372.333333333341,116172.69061873852,115155.08081246876,384.16
171,Tiquatira,14961,14961,39114.999999999964,11285.998361220845,15581.408870981824,12268.020000000004,67870.364113982389,67759.66937290068,324.46
172,Vila Esperança,10127,10127,26444.000000000015,7439.4772326082111,8988.076609042131,5923.339622641501,43963.363144882409,43641.807958734862,228.82
173,Vila Ré,10543,10543,28017.000000000007,3450.4048956147908,10824.497177991956,6907.482758620706,28698.656781556849,28997.995490862399,208.23
174,Rui Barbosa,17039,17039,46901.999999999971,9286.2123225831238,8641.101702986609,10022.941176470584,54313.679600095704,54360.721043024241,271.23
175,Estação Eng. Goulart,13413,13413,36661.999999999993,1300.4660908176695,10501.893101212128,8852.580000000004,24221.701042107685,24017.939925899118,193.33
176,Cangaíba,17445,17445,46655.000000000007,11731.657242128051,12950.291743918964,5924.716981132067,52681.836925174277,52038.500583762143,333.53
177,Parque Ecológico do Tietê,5232,5232,14461.00000000002,761.8315640695381,2939.377328164142,1931.8153846153857,19139.709368357617,18991.610193847409,530.85
178,USP Leste I,,0,-,3936.5968838545559,600.599744234285,0,8743.210453959422,8753.8653254055407,50.18
179,USP Leste II,,0,-,-,0,0,-,-,122.83
180,Ermelino Matarazzo,24816,24816,68528.999999999971,13794.649731627709,10699.43591623624,9475.199999999997,101980.65907616558,101050.72349561192,448.82
181,Parque Buturussu,16985,16985,46595.000000000036,11671.324773824466,19871.86079465848,8939.473684210532,71065.148519291019,71279.586036660417,371.83
182,Ponte Rasa,16694,16694,45867.999999999993,11910.722294139448,11729.16487513714,13021.320000000002,70533.645565013969,71477.693077417149,365.36
183,Burgo Paulista,16345,16345,46245.999999999985,5513.7616545827341,12874.838213418609,10687.11538461538,57540.369291627001,57038.229330360184,291.63
184,Limoeiro,8239,8239,23685.999999999989,3505.9486135421384,6406.481267808025,5654.215686274507,30020.37623538138,29730.291872992399,143.33
185,Laranja da China,9205,9385.49019607843,26434,8236.4445596214773,5530.915772414782,4692.745098039205,41802.464343579457,42290.593142862141,131.72
186,Pedro José Nunes,3664,3664,10111.000000000007,2305.8640733373913,2904.495515874758,2857.9199999999996,17404.927231273392,16818.201984153628,86.18
187,Parque Cruzeiro do Sul,16479,16901.53846153846,48525.000000000029,7234.48224180531,9841.3458604567,6204.3622200584305,76228.304566585444,75313.630539391001,249.91
188,Vila Jacuí,10139,10139,28767.000000000007,26886.17795344862,12072.25025175352,5964.117647058811,73141.573809888738,73504.573209045469,211.87
189,Parada XV,18108,18108,49905.000000000036,10978.49023715586,12400.12376804636,8357.538461538452,74127.868887541743,75101.944032383792,324.46
190,Itaquera,13325,13837.500000000002,36307,6748.3387277173633,20052.473419407343,9737.5,65944.284475748791,65366.435864767351,283.17
191,Arena Corinthians,,0,-,6258.7724360976154,8564.063024991263,0,34568.94643237994,35007.70275793381,140.29
192,Vila Campanela,13680,13953.6,37822.999999999993,7370.2197212391711,11760.043083853634,7660.800000000002,50720.560412211002,50776.656926072021,230.53
193,Araucárias,8734,8734,25171.000000000004,1312.5968329389834,5905.267949945709,3425.098039215681,24777.324441834531,24467.74924922677,129.58
194,Parque Guarani,8999,8999,26607.999999999993,7801.4991546889505,7893.8956100134365,3489.4081632653097,31572.938314949108,31466.170064412345,126.45
195,Rio Verde,14508,14508,40388,4864.8657877677424,12949.240446569713,7254.00000000001,54419.177803072867,55933.580664351088,238.76
196,Saudade,12095,12095,33599.999999999993,7496.5744672532701,6724.805189110133,6403.235294117645,56344.983482897573,56002.784990487518,207.28
197,São Miguel Paulista,8271,8271,23395,9179.7851763612525,9069.737000112793,4962.600000000001,43054.272755761267,44114.343402705425,302.65
198,Cidade Nitro-Operária,9294,9466.111111111111,26028.999999999993,7116.5496494422359,25161.75739261929,5507.555555555551,87988.028202955335,87519.479725423633,357.92
199,Jardim Helena,33916,33916,99634.000000000015,21833.411887022088,23692.952885738086,13900,136726.41310374843,137024.55558687903,684.67
200,Jardim Romano,11421,11421,32990.000000000015,5160.3812518235209,4990.94037525527,3263.142857142866,48216.01151854347,48208.352940040568,230.77
201,Vila Curuçá,24319,24319,69129.000000000087,19496.151529840023,11985.152116489491,13960.907407407414,106408.4147518126,106366.92222297551,503.17
202,Jardim Robru,25802,26757.629629629628,75039.000000000015,11209.907476697454,16077.9902900225,16245.70370370371,127528.82846623911,126624.79473583736,449.19
203,Lajeado,18131,18131,53056.000000000058,12124.388516470764,11612.12273808872,6202.710526315786,79941.817447763271,79801.148544719676,276.95
204,Fábrica Bandeirantes,39609,39609,115419.99999999994,29683.332046131283,32674.03799039508,18672.814285714285,141463.14010729568,140788.12329090084,615.33
