destination_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
93,838.4868808398459,4105.388498907314,25237.66767504355,16108.547943582533,835.1614690112582,6898.247110148021,1989.6176046847363,10060.418300129077,0,5866.106138359075,1255.9846670237573,73195.62628772917
94,2106.0058172606805,6162.301424896931,13804.150059068745,1610.324880730878,876.2446036732825,1425.745993582896,3959.265281831221,6241.464931591765,325.8817706546314,485.560067140375,2889.6330322816766,39886.577862713086
95,421.911238037186,173.48986160881498,8558.897234129674,3541.4747141688927,275.0930465704648,0,1237.6327618293972,14892.63700702508,0,1111.5417595220424,220.1539155176,30432.831538409147
96,162.10600956258745,542.6773288759424,12317.928549491462,6439.812869131261,467.0896946092451,1195.945689339114,1663.0069733222,5942.877193601039,0,301.2932766719483,0,29032.7375846048
97,246.87553899110776,1813.0014416299396,4435.635246935339,1525.6655183958776,726.1620588471494,1822.439145065391,1201.1096374661397,13347.25724727263,0,109.81812082198525,489.097606855509,25717.06156228107
98,237.38709053462213,346.04618903101596,6254.851723289286,2318.7349044463554,0,278.4785826136034,286.01287274881116,9314.172715252978,374.7931399152384,960.1713929602281,37.316104143078235,20407.964714935217
99,5896.250222885304,1494.050227012217,8809.234053704842,991.4292271511132,509.3170399183756,201.7652790939948,203.4467885715437,8046.387806567499,371.166875946582,3025.4282772866354,616.602427440888,30165.078225578993
100,4662.73879468172,18130.878608635325,35428.83309526729,18445.210509480243,7515.30916138984,11595.135547388218,3279.168419525713,22196.74531020746,105.82754668932758,6124.748404335157,2621.8460505167623,130106.44144811704
101,418.6194193152893,867.1280248868482,6494.097387573114,2757.714788923479,284.91681911046635,294.69444203967396,632.8325579934642,14167.226407116035,0,475.3393967148257,0,26392.5692436732
102,529.0176389979808,1387.1253642185989,6544.309360453437,4933.752544608583,212.0703624886681,1572.084540556231,186.4669968640825,9255.756814289774,0,2705.557795651947,60.664199509151096,27386.805617638456
103,300.3351411665434,565.6465732770943,4763.341138902241,120.36317308858489,123.17913162843372,647.5823746995051,388.357594926267,1919.225392611632,0,389.466921900688,0,9217.49744220099
104,84.46517837488943,191.804214384523,1626.5129305243013,2472.617123846261,67.59039805305581,0,229.55544147483715,5649.74015921412,0,63.24130255621891,0,10385.526748428205
105,646.4191800740663,1068.4610899396723,9448.19930162239,3261.7599957034254,956.9221464126139,458.5184155547849,105.14788496241948,12705.565374239304,0,143.4030947396886,260.174538756625,29054.57102200499
106,1906.58216536773,7345.121124607613,11983.043655557443,423.26254295440737,2539.025006721563,0,0,5600.533735336742,0,593.9766983544453,50.745300906639734,30442.29022980659
107,487.73801695080607,1334.57211597002,11238.419120192291,11672.355304245188,323.8379779953194,300.8364965185382,931.6667364517805,14810.55022956297,0,0,1186.90698254804,42286.88298043496
108,341.71975479089286,8201.503468181982,7730.665025478929,1139.908050897483,1685.0231773639916,0,305.4576560594943,4694.542261891608,0,189.8979411857443,8.56402007785054,24297.281355927975
109,3842.6368036547306,5010.012266626312,16812.144881367538,23078.82551842681,3442.582586752624,5075.668971385566,2849.116837698649,100020.1971219417,0,1401.1431187062146,0,161532.32810656013
110,3575.7149752055634,2671.227089845979,15133.844878368303,13754.186505690725,2036.4563082467243,272.8938712854242,1929.454337643299,54051.23441888449,0,3397.7297457130935,581.9072228230694,97404.64935370666
111,1315.522867824393,2106.7421070190726,8383.71294092778,11769.736505584004,396.65482363872354,0,781.342898383142,46675.05959967673,0,897.613293276114,0,72326.38503632996
112,3266.7591710447414,1452.7465575451877,12083.686589548728,8618.349502174824,1285.9275833095087,1389.5952701670758,568.3695447440493,27809.14710763373,0,0,0,56474.58132616784
113,4386.770561838104,5291.776776845751,13090.445948121836,11480.723934135944,1313.0722189535463,0,54.74177144393872,22044.35240569782,0,609.9614195116718,165.97614251404312,58437.82117906266
114,0,0,0,0,0,0,0,0,0,0,0,0
115,2643.7227311014944,3458.9045180477174,7115.840108664248,15600.102741657633,1346.915932306837,1644.7442595600212,934.441417768973,46193.922174909705,0,1042.794636029465,0,79981.3885200461
116,2118.9814281861236,4561.508916190056,16719.716836894804,63796.15772457537,6127.868143453073,1007.5270951718873,861.0750780860972,144265.81721898817,0,748.1656592708404,0,240206.8181008164
117,1823.4177193734351,1684.6638792676968,9282.438622862432,13747.55698287361,1345.5720389774556,2647.9205461042966,2959.89342809081,49441.64541510896,0,2267.251589884415,0,85200.36022254311
118,987.6424892235798,685.5029707646498,2397.230194025191,4066.8207295332472,96.19749470643048,87.03582854391338,109.0238273339546,12706.826927316535,0,750.8334457519808,15.703639519772931,21902.817546719256
