residence_zone,employed,casual_worker,medical_leave,retired,unemployed,never_worked,homemaker,student,total
148,10969.007995315604,0,0,2373.8153876804458,1523.0154215763591,1243.6997106528802,414.1710936259426,4462.2903911487665,20986
149,-,-,-,-,-,-,-,-,0
150,27846.073091358689,0,227.53644895984499,5447.6791259474303,3663.7715398591622,3515.0000000000045,1659.9740464148001,9314.9657474600845,51675.00000000001
151,35995.570516556028,8031.257693508599,0,9311.496356249485,13590.078418718191,8830.9035739530118,9163.0794566806617,14568.613984334075,99491.00000000004
152,19815.936593736107,0,0,5825.9726059079994,2200.8817928938415,2492.9970343666132,1481.10610646395,4009.1058666314943,35826.00000000001
153,8800.9756765615293,258.62320357503,0,3860.0859266280941,418.36689259798578,853.137859704221,865.56408091185881,2000.2463600212789,17056.999999999996
154,25108.029477657004,0,0,9041.1318424392994,2155.582188385868,2469.2655358397519,3528.1254005554961,6847.8655551225756,49149.99999999999
155,12354.588930108781,151.231977024705,0,4653.5463468715843,2953.0746366352291,1654.1193876208281,3437.2392655443309,4744.1994561945503,29948.000000000004
156,15723.592067674337,772.286479384838,0,7131.3884256197834,8495.7310242518834,2171.9788312297537,2517.4005653289751,5697.6226065104147,42509.999999999985
157,8103.2807689410693,184.83430917917488,0,2401.6489304109496,1485.5089748516425,1825.721674670918,1069.1449202655933,1970.8604216806598,17041.000000000007
158,23522.241614492526,2495.0195814330373,0,10191.37338212863,2910.0048682404072,6305.9875066472114,3777.2863372425377,6162.0867098156459,55363.999999999985
159,28129.139422468877,500.63622361898803,0,10949.829040227563,4638.9568468357447,3438.7554498909244,3858.6785542909806,10915.004462666921,62431
160,25265.145620750809,1293.171063712115,294.88438517437697,4614.1116024284302,745.83559408336305,4250.3163287921889,3663.0669548521564,7308.4684502065775,47435.000000000015
161,25236.071725859922,1402.1472445386671,0,4364.9661237243054,6208.4288551471436,2554.7786681570719,977.756605857674,7104.8507767152259,47849.00000000001
162,9540.6024592554368,560.86976992733753,148.11156376618001,2115.7894816132439,549.97804871741778,99.903037899245803,919.24052974660685,2021.5051090745342,15956.000000000004
163,21482.694821380072,147.706575812479,785.98071296700596,7343.4025764175667,1638.436216991154,2330.9218101619622,2077.8420663597699,6529.0152199099903,42336
164,4140.2282420983438,260.41160677836291,0,1544.3528574964582,431.71665782036297,294.64830159775141,244.1914679359935,1127.4508662727283,8043.000000000002
165,1662.4818755081913,0,23.027015228165698,602.5744565934524,285.02443169430268,210.82462892581083,231.4399743078518,499.62761774222565,3515.0000000000005
166,15591.724588424502,187.639504617272,0,5890.4072337815223,2356.2966725798719,2662.9215776646729,1055.0244024072824,3195.9860205248942,30940.000000000025
167,8548.5697869912437,346.62718099424262,0,2647.6729863106443,334.03120448211655,430.44822436674178,372.50449997804378,2879.1461168769656,15559
168,14662.986622876124,0,0,3128.5378651274305,391.15033871004499,1313.9997614074612,1710.2866415525245,4174.0387703264259,25381.000000000007
169,12879.581121554471,278.56944667349603,0,6937.0979055192856,1065.0915955676535,996.27146088346694,2181.3942086618972,4832.9942611397464,29171.000000000015
170,16705.3823219681,748.00908382412899,0,9559.7208474615745,3651.986013725003,1458.2751202327618,2813.416559221715,7230.2100535666923,42166.99999999998
171,15874.003312977722,807.95834553575867,302.81164036350702,6304.6919503123772,4781.35742478061,3305.2548916015039,2206.6596970344103,5532.2627373941068,39114.99999999999
172,11790.083163160396,1002.145545101794,0,4795.601552187607,1944.2880285019701,1415.4277126431639,1224.4338146831237,4272.0201837219402,26443.999999999993
173,13242.528140060191,0,0,4599.4001157056091,2758.2244876726181,1463.6612531059138,1995.6729935008311,3957.5130099548519,28017.000000000015
174,20445.654062414415,404.86797245961878,0,6730.2864517529888,6001.3164864668197,3216.3155858881478,2827.5335674166249,7276.0258736013529,46901.99999999997
175,15973.846674728758,0,1029.744727817241,6304.8294682627293,3985.6230114526193,2027.6173160819612,1340.181498173743,6000.1573034829571,36662.000000000015
176,19974.394638060367,1091.7224039126049,0,8153.5784233936374,4660.7641093666771,2542.8967449953179,2205.3918643181009,8026.2518159532929,46655
177,6908.3188320026229,0,0,1701.3403446134246,1635.4086862548647,1003.9938544725408,930.16024755264107,2281.7780351039069,14461.000000000002
178,-,-,-,-,-,-,-,-,0
179,-,-,-,-,-,-,-,-,0
180,30327.692936715059,735.68683031303101,0,6780.8563622395768,7786.2402384296456,4383.9932767213713,5753.8236956054825,12760.706659975842,68529
181,23526.808665884313,0,261.686674707934,6058.7447842063139,2609.8729918546455,2709.0947671933845,2532.6033418158531,8896.1887743375719,46595.000000000015
