origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
97,1156.5435690705465,357.47605552408527,3630.0602956130424,0,1339.0561529841764,9333.7995485051,2309.2709603987646,80.52674278361525,3027.2810293264247,578.0199394201471,0,771.0000684628588,2933.6601469611587,75.02243643823485,25591.71694548817
98,1340.2529633282593,448.39895671138777,2864.893097893625,0,217.57319851469285,6116.942555392728,1543.044627678508,0,544.7283716399456,793.1731838519544,0,1112.186098028772,5316.027762296761,0,20297.22081533663
99,4936.586915113114,5656.821888610376,3203.9166948851607,24.093241191043344,99.48601290543145,8055.942333303741,2082.0133181278534,0,918.1629271290745,523.4855330901391,0,0,4332.289062183124,0,29832.797926539057
100,6293.901852641647,14273.119210089,39666.53931495301,0,2404.4417897651365,30066.22283189985,9193.21087320038,7.3658855796687215,2808.244917172611,5296.74641511258,330.4990038686607,610.4445800581814,18859.954377697057,482.0705353794205,130292.7615874172
101,3391.163195155948,2130.853658460388,6063.259344158723,0,1888.0801164315355,8033.717378642025,3138.417895418834,110.0769577588,303.4251580702479,78.12936214160683,0,0,1248.9347977848802,0,26386.057864022983
102,1598.8446969440154,3146.6550412696033,3448.398016395297,0,2802.023871644172,7096.857412443181,2275.7362479312014,159.80878204417832,3354.6601271206014,963.8395494906744,0,193.7254186649631,2135.1118637167797,0,27175.661027664657
103,37.55603207193239,827.8083605723488,1647.9488241272063,13.777486387882382,277.5909083730262,2651.8123616022904,203.5051506569992,7.3658855796687215,565.6153556419849,8.736246929029607,0,94.20775812273148,281.30312136162865,259.2169062132529,6876.444397639978
104,184.5876193910388,233.88031997458893,1234.796398806834,13.777486387882382,876.2183551287376,3510.3777419695175,1002.0817314414852,22.79674827468983,641.5401456485704,69.17113296852087,0,94.36053852439066,2115.7769653112555,0,9999.365183827513
105,2144.968449356902,1723.8222049043377,3109.84988050855,0,1399.5132169377905,11405.689032861545,2265.239601568129,0,1406.832680020968,718.2301366967288,0,697.025875894107,4004.040806903152,0,28875.211885652192
106,3136.44784845482,3116.107358776634,6403.2865763985155,0,727.1193414891995,6019.439101531185,933.3990765880145,0,1660.7561453200158,1896.1466393627647,0,1101.8328183310675,4057.4800025987106,0,29052.014908850942
107,3352.4130249381487,5512.098197154675,4611.544073942716,0,1198.8606633033814,12388.37328118517,4752.1091685435285,0,734.8934430347517,1128.7521611862276,0,0,8984.355082128568,0,42663.399095417146
108,1197.489258493545,4291.743566494268,2465.3001193404016,152.85666336275187,245.40918116306375,7109.184417960609,1996.7854077405025,0,443.8916822815133,1187.2065247975747,30.692671923464022,496.98720521019976,2594.8612080241933,0,22212.407906792083
109,11953.852825469565,4884.5895584882555,26810.19151144547,0,17260.65434188231,47018.238137848304,17772.16675739609,0,1532.412929125506,4474.863571479348,1418.7723076393909,881.49215521385,27007.00820897882,0,161014.2423049668
