work_zone,secondary_sector_jobs,tertiary_sector,other,total
249,3148.01448311376,4664.782012600032,0,7812.796495713792
250,311.4145322177594,15784.79212582052,0,16096.20665803828
251,575.742597543477,6219.652568317626,0,6795.395165861103
252,266.5193430643265,6044.063489394255,0,6310.582832458582
253,962.9237043233052,4694.796197893362,0,5657.719902216667
254,2194.2608092779765,31021.750052820935,0,33216.01086209891
255,3787.7011429129,17833.99887943178,0,21621.70002234468
256,1880.7555224540056,6559.557097476474,0,8440.31261993048
257,3119.7135729469437,8749.571187877176,0,11869.28476082412
258,5720.17266220433,19111.5940709444,0,24831.766733148732
259,811.3867944096748,4889.5725607932745,0,5700.959355202949
260,515.2847414273369,6766.7348014436,0,7282.019542870938
261,4376.9846738023725,18549.864441064507,0,22926.84911486688
262,5670.74169470684,12292.433132487118,0,17963.174827193958
263,5008.241086246653,16265.022137684598,0,21273.26322393125
264,9445.319888225838,25821.069427742572,0,35266.38931596841
265,3553.443968534913,14450.720110933991,0,18004.164079468905
266,976.3379629008641,2475.7710585821696,0,3452.1090214830338
267,3690.2319508074033,13345.531568476965,0,17035.763519284366
268,661.680776424149,8385.5177471108509,31.8200459391394,9079.01856947414
269,1929.8643044575329,18458.880503507724,0,20388.744807965257
270,1196.553033830534,11103.055793472908,0,12299.608827303444
271,0,12736.405357761672,0,12736.405357761672
272,491.65455995930625,14902.209823157453,0,15393.86438311676
273,2930.3530261323153,16822.92899053068,0,19753.282016662994
274,2105.3004021091087,40106.15508910922,0,42211.45549121832
275,1652.243676121368,16684.190496749747,0,18336.434172871115
276,2402.900390950226,14035.087248408325,0,16437.98763935855
277,1338.007639024841,18773.279439793816,0,20111.287078818656
278,3390.810928189403,21887.881450448895,0,25278.692378638298
279,698.3442362364119,13610.75593716578,0,14309.100173402192
280,4435.023022806688,17921.060697690013,0,22356.0837204967
281,872.03063712281,18405.535631420524,0,19277.566268543334
282,1213.635446160228,18330.130572730806,0,19543.76601889103
283,3320.530193291394,4893.45444318298,0,8213.984636474373
284,1807.302132302972,9104.037000634728,0,10911.3391329377
285,6886.367191747962,19707.78716698867,0,26594.154358736632
286,6202.57721190118,17598.43604485161,0,23801.01325675279
287,1824.5984380131852,16961.642589158924,0,18786.24102717211
288,1194.9131357269578,10204.069868556771,0,11398.983004283731
289,2986.8993172083533,17599.810935792113,0,20586.710253000467
290,1877.343921300036,14997.812151343936,0,16875.15607264397
291,2865.491968344089,19662.89521503572,0,22528.38718337981
292,3056.7193729191613,12410.679889006344,0,15467.399261925504
293,302.722278459021,20451.839792394974,0,20754.562070853997
294,5363.6132501170705,29225.881579089713,0,34589.494829206786
295,4293.8279594189535,32140.08961991741,0,36433.91757933636
296,184.446142460587,1900.8294805495568,293.54848108305,2378.824104093194
297,777.5917114894619,1984.4496461288604,0,2762.0413576183223
298,11668.825819331823,47585.434944451685,0,59254.26076378351
299,773.9515364291693,1085.6010416935894,71.1209170032467,1930.6734951260053
300,0,86.3851947914799,0,86.3851947914799
301,11545.761575468645,108950.80198683863,231.141547311078,120727.70510961836
302,2449.2140163369204,23063.057411959075,0,25512.271428295993
303,2145.390231560946,25722.819285402376,0,27868.209516963325
304,3613.281667636398,26439.7511423866,0,30053.032810023
305,3784.1369326272256,21967.00382582293,129.970226477036,25881.11098492719
306,5225.097512142839,22014.907545993465,0,27240.005058136303
307,2739.194831318988,9944.190163418167,0,12683.384994737156
308,4910.265888698561,17721.279976862414,0,22631.545865560976
309,340.60068413915997,5427.06888422468,0,5767.66956836384
310,773.6830082004309,8874.975175029187,0,9648.658183229618
311,746.228215605272,6019.0034546562365,0,6765.231670261508
312,5889.701321907185,16258.964278193756,0,22148.66560010094
313,3610.7914713407386,14979.97169242202,0,18590.763163762756
314,572.6219894722612,5235.163809988066,0,5807.785799460327
315,2385.43566067194,25939.79219638703,0,28325.22785705897
316,2979.3534336265493,23727.74234447063,0,26707.09577809718
317,1280.7044438759906,18698.20859748117,0,19978.91304135716
318,833.3168395970544,9250.452431225496,6.45833333333333,10090.227604155883
319,2410.5582862217652,19306.7906765244,0,21717.348962746168
320,1081.1119732032305,18310.538212761152,0,19391.650185964383
321,2129.9520181513817,13299.465024100196,0,15429.417042251576
322,1691.5510703736709,24530.367224505084,0,26221.918294878757
323,3017.124948503199,19532.919909393997,0,22550.044857897195
324,442.41367922673,12289.5329929101,0,12731.94667213683
