residence_zone,illiterate_or_incomplete_primary_i,complete_primary_i_or_incomplete_primary_ii,complete_primary_ii_or_incomplete_secondary,complete_secondary_or_incomplete_higher,complete_higher_education,total
231,18159.502616475107,6567.7568519944707,6167.6463773698351,14172.499271825945,4078.5948823346375,49146
232,11487.897633368566,8662.8037898636176,6703.5107714734304,17935.000453180211,2039.787352114211,46829.00000000003
233,14543.955116115218,8308.6957003179014,7845.7796722468829,23189.799397297913,3556.7701140221079,57445.00000000002
234,20471.442790577759,13196.668669186696,15300.495878498337,21830.34519571708,5033.0474660201226,75832
235,13008.20407136024,10519.015594819615,14652.309677324945,27484.551532553916,10329.919123941296,75994.00000000001
236,1623.6280715957782,582.89212211515712,630.34440601649396,3729.7457176822845,5505.3896825902848,12071.999999999998
237,1209.8579161413256,331.1174154667097,609.16782811700034,3836.8888486702417,5096.9679916047262,11084.000000000004
238,3259.9668622321669,2073.440706207271,2011.7462365241972,6350.9184622979192,6326.9277327384425,20022.999999999996
239,572.27110028612697,1461.5808480625751,1152.5885084353868,5204.7021715685942,6372.8573716473147,14763.999999999998
240,1624.0922547655198,1660.0605685884348,2055.6719193524086,5201.4368343524902,9914.7384229411509,20456.000000000004
241,1309.3138301026008,1126.0997073218796,1363.2559529157379,3258.6768277679557,3806.6536818918221,10863.999999999996
242,6317.1003774343662,2719.0931531603246,6484.7462096485269,11746.837644476513,2629.2226152802755,29897.000000000007
243,6595.0301952510981,4962.4447684902871,4322.5881129099098,17418.918413152544,12495.018510196176,45794.000000000015
244,6562.0955105190424,9619.1968220265353,19007.946068864137,27088.619931751611,4902.1416668386782,67180.00000000001
245,3451.7031491788644,2106.3229913871132,2017.8837979319107,14842.61047350984,2662.4795879922622,25080.999999999993
246,2559.6088555740962,2360.9468819289782,3647.3510423945659,14267.062166120808,7361.0310539815391,30195.99999999999
247,9995.416130057356,7743.0153190817273,19210.413757325754,42572.261307662026,20159.893485873185,99681.00000000004
248,-,-,-,-,-,0
249,7548.315959102536,5022.3471175824507,5464.1728990196661,16042.410974233935,5042.7530500614203,39120.000000000015
250,2055.0008168568124,1532.4014429595886,1639.0018170996073,3931.2290850365002,10730.366838047486,19887.999999999993
251,2979.4116341258141,1572.960613098465,1568.4784826382579,11764.062087267537,7146.087182869931,25031.000000000007
252,3105.1409303176392,1174.8753588555069,1672.9812347356867,6852.772409908288,8880.230066182874,21685.999999999993
253,955.27462266755981,1007.1103790253457,1326.272787500272,1740.2079029677557,577.13430783907256,5606.0000000000055
254,3008.2770583162055,2205.6731700623768,3621.1585430870537,9747.6362330986722,16575.254995435713,35158.000000000015
255,9861.1901447152541,7627.9680883526007,11627.217835192969,20716.628517116584,17718.995414622637,67552.00000000004
256,4807.4113965624592,2484.2443349295481,3899.0362014802572,8008.8739846612179,8683.4340823665061,27882.999999999985
257,3288.2572813814909,5668.8246730875753,4186.7107366384853,18325.263049315789,12923.944259576641,44392.999999999985
258,8794.9847808478335,7555.736063765964,11104.414321019256,31546.208664998143,10190.656169368813,69192
259,5798.2420319364601,5765.4911961460666,6265.1992594204139,14023.195159350147,2848.8723531468986,34700.999999999985
260,5869.1722565538403,3214.1053653401977,4381.2830443881921,21196.125580318017,8615.3137533997651,43276.000000000015
261,11113.331289688362,13923.255739704477,7633.9834090057075,14861.84095106255,5946.5886105389036,53479
262,25848.164789556991,6852.5425510600189,8235.7153624809362,30516.611505188368,7722.9657917137265,79176.00000000004
263,13597.69050451279,12091.141033900874,9096.9573844591741,23619.080914713686,4305.130162413494,62710.000000000015
264,11333.121060964042,6377.0615774798989,18706.948216858327,21815.187209318789,6073.6819353789606,64306.000000000015
265,7060.5234536564603,6162.1182332301742,5159.4369002076828,21657.320151339831,2798.6012615658587,42838.00000000001
266,3883.4330859224119,2896.8539876663162,1126.7084907744477,8057.0907449720753,4049.9136906647464,20013.999999999996
267,3247.8228234819098,3105.7775045599019,5134.7853045935053,16380.307407791806,4523.3069595728812,32392.000000000004
268,1522.7023099502312,1058.2312461990412,913.9749835539377,2751.09436413085,6656.9970961659292,12902.999999999987
