residence_zone,age_0_3,age_4_6,age_7_10,age_11_14,age_15_17,age_18_22,age_23_29,age_30_39,age_40_49,age_50_59,age_60_plus,total
30,624.59789019144603,336.88941321349603,409.8772588777905,536.60184581922965,309.22513658100206,650.86287135122109,815.41992278536804,3278.6780220304745,3132.1939878210101,2211.6504319899145,4481.0032193390498,16787.000000000004
31,442.24781980809001,424.70184265111197,630.96247087528604,569.29631802455776,447.92652699016776,749.02262654092999,1376.82261160802,4534.0831903437811,4246.6404755439398,2811.9141556243048,6209.3819619897931,22442.999999999985
32,0,229.87687326343499,247.24167304232799,214.16586393967589,77.964407170538408,328.08811607486598,407.61821591295256,1484.2440569242945,1426.7961870222277,1005.8599766489049,1917.1446300007779,7339.000000000002
33,58,0,63,55,28.75,42.25,91.999999999999972,298,287.00000000000011,201.9999999999996,412.00000000000045,1538.0000000000002
34,210,122,265.2,136.80000000000001,129.3333333333336,206.0000000000004,351.6666666666668,1252.0000000000002,1203.9999999999991,848.99999999999943,1739.0000000000027,6465.000000000002
35,489.88774281574399,1510.9600060593689,1057.3983006812889,789.68332632791089,868.54993824922644,1002.7593304980412,2940.0497605749574,6077.4313536014324,7808.220541099824,5841.3009592767903,6177.7587408154013,34563.999999999985
36,1810.9811960404663,0,2097.2868317978118,1634.9366856937936,621.18653006326281,1904.1310331432098,2484.7605303369091,6362.7011351915726,7497.2288688681292,5798.0970340185704,9168.6901548462592,39379.999999999985
37,203.67716810149892,362.1692465538809,367.91430938308417,351.40501955687637,207.46090319615004,416.92078369706383,682.55354268409121,1477.0057186604263,1770.3799515356541,1275.5814522603055,1924.9319043709677,9039.999999999998
38,290.1111111111108,246.7638888888888,389.82500000000005,272.3,247,86.3333333333333,548.6666666666664,829,918.9999999999992,654.99999999999977,1040,5523.999999999998
39,369.27040061478999,702.53641659564551,853.44685056886556,785.44782313129053,744.77711239093287,546.118103211164,1012.2351803399534,2168.8084240592298,2174.2918034405548,1567.1683364805929,2291.8995491669966,13216.000000000016
40,436.57556901870691,429.80037659757488,487.4246638517518,475.85926685021218,168.05500756302609,463.5627855032858,613.88736734714917,1265.9767831090892,1334.7672081503963,947.7696987699228,1586.3212732388831,8209.999999999998
41,1443.6094342934598,312.13447128450503,1891.5122876969272,1318.5852065611089,589.55867153054919,1346.8587696057357,1848.1937555187292,3546.8601217645155,4017.4499983305432,2510.0982502667252,4485.1390331472066,23310.000000000007
42,426.38561713210936,343.55780639560157,287.9711019699447,441.08547450234585,239.19671538127602,432.02200839241857,430.78127622630535,1039,1151.9999999999993,818.99999999999932,1299.9999999999991,6910.999999999999
43,1498.5690007790606,849.7046608280325,996.37259658113521,1539.0573878919308,1062.1278668923264,1971.2327473049852,2080.3859960433506,4690.0507679769507,5351.3939690049701,4647.4782674691942,7407.6267392280533,32093.99999999999
44,168.86368102057341,93.576083164830393,93.576083164830393,184.51049622945931,165.20598395875621,88.495948356750603,3418.4043725200686,4179.9708661683107,562.0661151659524,2798.4258209322161,5196.9045493182557,16950.000000000004
