work_zone,agriculture_jobs,construction,industry,commerce,freight_transport_services,passenger_transport_services,credit_financial_services,personal_services,food_services,health,education,specialized_services,public_administration,other,total
105,0,135.6911199332643,363.865161590586,1448.2254159477852,225.886430316801,443.232053232196,2212.5287113279355,111.0663247989082,396.9298899274344,447.39333674386035,258.44189158262236,1488.2656093037683,0,4307.751560974663,11839.277505679824
106,508.535390572867,1048.4954381202906,2605.413918188498,11898.06134702954,120.4762900823527,26.144262768148305,649.4326081586664,313.565364670323,1607.6502000667656,132.31307831066,46.2552758812225,5519.193304149376,119.4547170643005,2339.799629051979,26934.790824114993
107,0,0,578.8914528653647,2520.726572353482,362.12952520423744,0,1068.9791437895133,803.6260189536503,798.6745886473434,318.8061761115227,723.9799926696362,3870.399677202763,841.616754988313,3917.309455732222,15805.139358518049
108,0,106.06665228244152,991.7922348896947,7924.819752233571,586.4888330520223,0,132.7637116788471,75.97038383822,796.20489033399,179.187887522014,81.27495114570212,2539.5564363698672,847.502000927008,1676.0570626356462,15937.68479690902
109,0,531.162504493713,3212.9330213302333,16996.482102906037,1513.5877734359442,250.127667352503,750.195565875345,2318.7093166006807,596.322557799598,3894.629401054789,3465.8313840590736,4657.136386839288,299.553928165935,5881.887299738341,44368.55890965149
110,0,0,1738.7815184887309,7067.773578962024,456.734140145767,767.1401906947419,270.898135670403,1282.077620047292,5936.001450313429,459.8422434437868,365.1664576450861,2011.4379311714993,540.268080672873,4128.557792082853,25024.679139338477
111,0,291.903744904379,1038.007963271808,5003.9095328772355,1119.475772499692,475.168683927178,838.971052568749,243.241137250976,416.997132604423,1381.0916014717668,717.5297619587604,2057.575108729514,0,3837.034796831768,17420.906288896247
112,0,666.5809471812022,2684.757992695215,2654.1763609471013,1748.9441404452473,0,0,164.956471992746,1894.4571908647847,821.8477677095589,761.5872789341638,4389.271248208957,0,4717.228360606394,20503.807759585372
113,0,312.641928859911,4957.7824293424765,6426.372407172584,1741.2656891901845,3581.9406525286913,36.7981039650923,122.941568395931,799.4498735481966,2378.6321836123147,383.123665186997,3475.717760707371,0,912.5401765672299,25129.206439076977
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,2183.0907156556327,2179.745642247756,5891.510713229793,681.0887849965302,299.553928165935,0,747.092531567878,571.130886749636,0,1775.126698196958,444.51132211849296,571.930058056931,2854.488927103135,18199.270208088677
116,0,2950.606702405071,2161.512262414284,6775.351776674063,2356.707043056054,2028.114642591314,0,965.053815276327,1025.079287584191,2437.6394011369603,4356.505930468835,1306.1233842392687,274.517879313365,8531.685270034244,35168.89739519398
