origin_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
90,545.81687655729195,395.5571904848174,4575.5766749128425,2955.3696511778708,1126.305657692925,1473.2571238973264,980.27153006328751,13640.433819160316,0,665.25433984332017,239.86203826674517,26597.704902056747
91,778.04601802012121,2058.6821867396534,4067.302145556097,2499.4709772134906,54.238596325738307,952.8313752550506,2137.130939117867,38192.508246703306,0,1721.9981543447698,975.86645088975217,53438.07509016585
92,51.95737130395738,555.308171842408,1322.3936272469907,1632.7498168869354,35.791697704671911,0,1973.4503686619125,32883.190809881555,35.791697704671911,384.00235769072492,1624.2346671154319,40498.87058603926
93,164.74670284971981,263.2271930301506,5588.2260213545278,3697.9350915816322,1669.8702765066153,1310.8688700916364,3768.5258209633184,55146.064643685357,0,724.20366872560612,1256.4154737132717,73590.08376250185
94,84.920164044984887,725.90603243723865,4874.0664511999066,2271.3864854007388,335.73695304517423,395.28792934241983,887.98664895916227,27836.028157295063,0,528.49188603486311,1553.6205973119681,39493.431305071514
95,567.28446100895098,439.64529708028527,4290.1979560430036,5326.4597021282425,501.91577018121075,670.5879158076541,2413.4632624543451,14291.812994719481,0,2042.5049972416627,220.15391551760001,30764.026272182437
96,282.44122747020816,322.50059784842352,2167.753537524728,3748.7108088029181,494.56020070284734,417.86699258880742,366.55182660798249,20372.329193533482,0,367.79372879951734,55.269605492912106,28595.77771937183
97,378.66042948799878,1015.5393007329039,4865.9780285682673,4712.4672083010846,864.10593530811798,1182.8102389803191,1497.3531872277263,10155.698264019406,0,462.12330694073466,456.98104592159001,25591.71694548815
98,236.99151580077427,316.03152161343331,2935.8086580875161,3616.7297344829794,385.03496851450842,360.80288420889627,1142.3951060137363,9998.3707676647609,0,1267.739554806953,37.316104143078235,20297.220815336637
99,1070.5432056853192,917.49046387527767,2310.220397978982,2838.6973937960597,2410.9283047535696,618.98262452282199,353.84606413845728,17996.201559855668,64.209398675630581,410.75543915957564,840.92307409769523,29832.797926539057
100,529.27663809954231,4417.1508477567713,14569.808478456587,6434.9539660202763,1281.4095015237865,1339.6793956409865,1158.1093398154833,97222.194897543814,0,697.81669420017283,2642.3618283596775,130292.76158741707
101,545.11264767438956,209.65301031853622,6108.7294917472755,5888.7418934591724,445.86803124372716,812.33781070771192,769.68381739759923,11550.965820365851,0,54.965341108721617,0,26386.05786402298
102,384.08725123216675,388.25165677585522,4567.3367988774417,2199.1350279620792,352.01508620467905,440.66259451248595,789.91301322883248,17309.285807308494,0,720.80702658096664,24.166764981663253,27175.661027664664
103,0,64.186953597937844,829.85327732021733,710.73668790953241,131.93463096664442,113.45314454731448,233.81233113830905,4515.9562491033685,0,276.51112305665708,0,6876.444397639981
104,392.00140677004731,205.83568998099724,1936.1985206390425,1826.5229681182257,349.71343401566787,267.99303874971042,306.26056446482835,4288.4195280131253,0,322.6075272947391,103.81250578112882,9999.365183827513
105,717.06860348014447,624.16460053757555,5378.8904626841713,4139.4579174128121,582.1140796645451,672.80959780816386,1222.764759205691,14722.831847379166,0,399.57018681946965,415.53983066047624,28875.211885652217
106,28.985406918884912,925.81445755336756,2615.4394536479031,1760.6776806191838,332.68167970792541,77.443278134343444,308.04797047653017,22404.644066357374,0,262.56046781314745,335.72044762227534,29052.014908850935
107,564.44526114167627,1314.7342414709531,4301.1019068792293,9396.5919640742159,140.91595932090681,648.46168698315023,1908.379436773238,23091.01712697227,0,866.32484773832493,431.42666406320632,42663.39909541717
108,384.11268782629713,251.51127171961886,1973.6005706829728,1762.5723308819474,445.29484923703507,297.04043304996054,0,16952.22371512149,39.875784379226033,97.612243815686767,8.5640200778505395,22212.407906792087
109,5857.9873052875846,5149.5078047598527,25104.646811845083,38622.891782262253,5013.2657777955164,10940.213491712002,710.80470772842318,59285.740953000422,371.16687594658197,9958.0167946291676,0,161014.24230496687
110,2851.5990350002462,2604.1188188586525,26625.736004559534,13071.864697208814,5589.7583068943404,5656.549016042989,1029.406208944526,38855.282910901893,0,625.33693753164164,581.90722282306945,97491.55915876571
111,3488.406984082631,2118.4635658386378,17061.822226415115,16014.857466815405,1929.7820941674461,4157.0864239001048,488.64705170717315,24331.194678891425,0,3049.9589532378382,0,72640.21944505577
