destination_zone,industry_work,commerce_work,services_work,education,shopping,health,leisure,job_search,personal_business,meal,total
45,6982.8525047931953,5680.3270785468003,29059.796486853938,27918.739918452611,4603.0345078189293,3851.9685511080133,4155.0780764299043,0,4807.8848384053499,406.65100760485495,87466.33297001361
46,3283.2729115794432,9541.6274413447027,15179.727523710091,23427.28665797276,1836.2519894988804,514.56120754843971,2207.8987671281493,324.54454878635198,2099.4290404723279,25.169631932599756,58439.76971997375
47,2055.1048864409599,4969.8260662682605,13617.44976505508,6702.9310626098286,1156.9687260099249,1234.3217009809778,1324.78384266792,0,726.4182149811362,633.87423608732161,32421.67850110141
48,1004.3041812649044,4264.1985862584806,13007.977178263332,11238.963662321821,2758.0503317995472,604.84747646881954,4236.5635346294503,0,1979.275970406135,0,39094.18092141249
49,2018.9188191207541,1117.5571645871196,18746.039400082082,8410.1156368955581,646.32090583275408,4234.9373471844328,1183.5186339691161,64.209398675630581,1005.2804410203046,41.604035008788223,37468.50178237653
50,1125.1400563019793,2115.0883997780102,3551.0297917231237,4514.544938452661,3594.8245316016742,1917.2083047785329,475.94466381632117,0,188.27436679344595,0,17482.055053245746
51,749.3330741014654,2084.6292292643102,9710.7047006220073,9989.9502058753715,1983.027127609103,1828.5537114911031,753.90758443639299,0,1258.6699442732368,0,28358.77557767299
52,1715.221606290203,1250.5212956458017,12232.800099663818,2452.9971801953557,971.24254886120639,801.13048385605623,1056.6025366340398,0,3289.5717624563622,333.27947142361353,24103.36698502646
53,689.61533604749945,3461.004411547035,26790.452783364963,11674.603661731695,510.11456500870793,4818.5935461224144,3713.4372786752574,0,2669.6537255394942,1588.4016034657159,55915.87691150278
54,1510.1021136724071,3430.5440407268225,26665.927611635227,6164.8688081776854,3458.9744787155855,10878.367861844927,1515.9880409653797,0,1874.27777520986,3678.2997101082728,59177.350441056165
55,1818.2038301779321,1834.3433158406481,18245.918291070335,20389.16389555352,1623.7970469760887,2834.0856833533453,2354.2215739405638,0,1829.4583278296843,332.28913097701138,51261.48109571914
56,1601.6355552766463,4273.2356481190727,16511.678205794837,18745.143230183843,3030.964427507447,2029.0526997738261,3464.8405410643823,216.27747162610416,3285.3875712706263,615.39035394656526,53773.60570456336
57,1420.799972790689,2731.9366477105468,37685.158268485262,9963.5878550029629,2993.3093818593647,4347.6041829362248,5445.7656145608125,218.92609761576733,1405.3899699504943,816.97227664097659,67029.4502675531
58,1584.7806921991419,2699.2060580400034,25494.856916705059,15937.24758385407,4498.8709688003919,2396.5203732767663,4817.4721206224604,0,4018.3619334437458,1515.9060112629973,62963.222658204635
59,2478.4726199457705,7592.4184070835381,29567.663629791492,17792.601408430121,10637.15483546806,2566.3170098375172,5560.3123807692209,0,8231.0601444288477,1215.8982201808021,85641.89865593535
60,1486.1403272537279,4054.9494762538484,19552.323878670359,7073.8055297061592,4966.179988427185,3233.017194049276,279.85765604189402,0,1164.8271964127682,32.807029775529138,41843.908276590744
61,3338.6812047628609,4073.8068659346036,18192.56529771247,11440.803771672583,4815.4300468678248,2355.8934691902232,2696.4942102990826,218.92609761576733,5426.7102717029038,357.90352228080849,52917.21475803914
62,948.12154061776164,968.29110098032709,19026.628554844989,6957.2789116814201,536.07808118855519,5691.5981277158435,4434.0942316024648,0,681.4668677573743,0,39243.557416388736
63,1388.4053171476537,437.5567911996888,12339.00915600093,1048.0256268295502,172.4762384578051,13208.539738385411,535.1726220622802,0,175.12712895878565,0,29304.312619042103
64,3945.7824057678986,6718.8993038044591,42236.766876445246,17922.884846866546,4193.9493042055483,4886.6903283922129,3614.3011086602728,0,4521.122800149029,2348.181993721862,90388.5789680131
65,1117.4298697911397,2782.6209694620857,23383.147101808914,20600.692593020238,1133.597832666959,929.69788379242675,2111.3425590328775,0,958.21470757254326,439.66187247483447,53456.405389622014
66,3494.5177125256705,5904.7192999535255,22562.645766819845,14754.918973673459,2462.2130162679782,1169.0450468768599,5919.7996967540421,0,3891.9542700144443,995.12222659026861,61154.9360094761
67,3699.9510175913047,1540.999424164926,10575.505420721671,3101.3437678806563,1074.7062721200452,2126.916305100905,1023.2018996079078,0,1160.6697514577256,563.28588129779234,24866.579739942936
68,3773.3442292608502,3675.3326776120025,71112.989304649702,9661.8522945164659,1058.9228956823979,2369.3014336934075,4329.0429516861759,0,2704.4149232091422,5123.1031446990746,103808.30385500925
69,6664.7805818552088,7503.9887507062585,30415.056571327517,7177.1983856960032,1751.1968193549442,2430.5110684696647,2492.9645865249709,294.32605694262276,2091.3593327511771,2371.7175107549378,63193.0996643833
