work_zone,fixed_address_jobs_outside_home,at_home,no_fixed_address_jobs,total_jobs
308,13035.703072050925,3679.746244209748,5916.096549300305,22631.545865560976
309,2693.156909563527,1913.7142769327847,1160.798381867528,5767.669568363839
310,2340.919479985709,3821.7691533199545,3485.969549923954,9648.658183229618
311,4266.920133777117,1830.7804884318757,667.5310480525151,6765.231670261508
312,12211.128495288162,3941.485649112886,5996.051455699896,22148.665600100943
313,10325.80757833508,1724.7970531009162,6540.158532326758,18590.763163762756
314,2239.742851120065,1487.346253045746,2080.696695294516,5807.785799460327
315,10629.118775510888,10556.841382353346,7139.267699194729,28325.22785705897
316,14732.89931060154,4519.662474438434,7454.533993057204,26707.095778097177
317,18088.18931553797,1156.4442663518016,734.2794594673901,19978.91304135716
318,9338.002082998299,436.1421955426201,316.08332561496644,10090.227604155883
319,16001.179257635544,4835.42697172771,880.7427333829115,21717.348962746164
320,17955.95397729987,1033.6107640355876,402.08544462892434,19391.65018596438
321,8253.805028588326,2039.6847007958224,5135.927312867428,15429.417042251574
322,20879.49468345886,2864.7255156424862,2477.6980957774126,26221.91829487876
323,17595.95371877249,4175.485987514371,778.6051516103385,22550.0448578972
324,6917.446376109305,2286.112275066782,3528.388020960741,12731.946672136828
325,7113.632779148782,8145.286633965502,3652.315209234877,18911.23462234916
326,10153.48596148182,1811.72446919868,5390.898429989875,17356.108860670374
327,4145.080636100261,3887.748040885574,835.755797097313,8868.584474083149
328,6982.344105688157,3379.0178691852984,552.7353643838702,10914.097339257323
329,10168.3152462867,3710.305023563184,412.476250874556,14291.09652072444
330,17092.68693203686,4192.158635188717,336.2848933856448,21621.13046061122
331,8257.307536457754,4223.452008614211,893.127929671323,13373.887474743287
332,10514.388876629053,3475.64105135624,5306.492413550477,19296.52234153577
333,8266.938841538951,5948.166284395669,3238.6812034413542,17453.786329375973
334,5803.538651792973,2494.2651390685296,1586.392605636972,9884.196396498475
335,8735.261578093772,5585.652668568228,2908.865558732467,17229.779805394468
336,6345.768405294694,4213.429905532921,3371.9786703583068,13931.17698118592
337,9639.601188788776,4665.7011449339825,1263.161392687671,15568.463726410428
338,8357.180902359793,1551.6224840924372,836.106549484404,10744.909935936634
339,19233.663764578137,1614.5578203799953,1774.5154061838589,22622.736991141992
340,26925.921869434944,0,0,26925.921869434944
341,18405.092769161885,744.6674938896047,351.381717595807,19501.141980647295
342,3522.3177081198114,933.0799360005491,417.20138999873126,4872.599034119092
343,12372.163918972,786.7092795163529,770.184537728302,13929.057736216657
344,832.4865866832538,338.8420710300927,352.377004217421,1523.7056619307675
345,21835.50989018835,1841.9405118394293,1897.8540379869569,25575.304440014737
346,5459.696693623856,1737.781817454994,2722.539161476252,9920.017672555103
347,630.599944406987,0,0,630.599944406987
348,43350.8160481717,2195.48627937045,5697.274016023503,51243.576343565655
349,12668.599042987871,453.5272165381773,456.0943034103254,13578.220562936376
350,299.901389664336,0,0,299.901389664336
351,13764.542593031614,2566.5693013328982,3727.7845196684175,20058.89641403293
352,9193.94751401118,1547.5984976065313,4329.109010935572,15070.65502255328
353,1226.885358063164,0,0,1226.885358063164
354,0,0,0,0
355,0,0,0,0
356,10279.675699314106,2171.594554826929,1848.028651670972,14299.298905812007
357,8547.154311097633,3431.476490096916,6864.45520102998,18843.08600222453
358,0,585.7370129870129,161.57142857142838,747.3084415584412
359,15799.322978271795,3019.9343559733225,1415.9056844998777,20235.163018745
360,694.828328558512,5606.8211823667625,98.0389286772024,6399.688439602477
361,6757.680488072619,373.788207785288,1140.2636475406089,8271.732343398515
362,3427.278861883636,198.41352309045,1443.8751965473923,5069.567581521478
363,32548.362436095707,2307.2578258084072,2487.770172748989,37343.390434653105
364,29788.311783151556,2495.315995177751,2502.1906847042196,34785.81846303353
365,35720.64091535039,725.2646686805272,478.24007083782425,36924.14565486874
366,11187.08101453959,426.9202212088851,239.469466653467,11853.470702401944
367,28834.93591575653,2122.130463928707,1545.863900490212,32502.93028017545
368,9184.325045662405,2905.25319330882,244.74489517453,12334.323134145754
369,15004.344713336714,2318.554877002401,1539.6900767605507,18862.589667099663
370,10618.315402508631,6908.41425793667,2841.892485510969,20368.62214595627
371,28553.41718458673,2976.040118769421,3395.285161258069,34924.742464614224
372,2031.8788843036311,686.4846139624531,4146.751263755243,6865.114762021327
373,14380.988244867072,7592.832528913749,2561.467122946771,24535.28789672759
374,25307.634420829738,6109.874835870291,3946.959430109411,35364.468686809436
375,29670.307479607312,0,0,29670.307479607312
376,26536.95410335294,6841.725388718526,5315.277223147882,38693.95671521935
377,17671.42906976574,3364.5675785600565,3587.38333282908,24623.37998115488
378,38587.89566033867,17287.802727559218,9154.629553892053,65030.32794178995
379,31777.172679199553,4766.067254494475,8074.956975760928,44618.19690945496
380,4376.822609488358,2562.92037021849,3184.9797276965464,10124.722707403394
381,9746.394843828113,3138.13056924393,4408.098721822302,17292.624134894344
382,0,0,0,0
383,5782.763125023116,5482.521282611198,9161.9670895014,20427.251497135716
384,7698.591805745741,7944.739502686565,6227.528687060549,21870.859995492858
385,1751.282935562206,1744.292856412246,2147.241441261921,5642.817233236373
386,0,0,0,0
387,4042.9949485084294,956.6229926437171,39.7333844580777,5039.351325610225
388,36709.097693077325,4846.92395115584,851.8993632697498,42407.921007502926
389,4288.799581347742,720.9237102923578,542.8478874361417,5552.571179076242
390,11701.009782446616,1101.647263475318,3564.2928621056785,16366.949908027613
391,1784.4864999599345,1001.00606060606,697.2863636363636,3482.778924202358
392,186.409514289405,0,0,186.409514289405
393,310.497346627156,0,0,310.497346627156
394,16998.469437308253,6667.113602623168,3660.162035992259,27325.74507592368
395,348.737659258332,0,0,348.737659258332
396,17643.60838538455,3446.5412635938296,3416.778244186099,24506.927893164477
397,1762.7222935467855,595.9164636479608,900.7922127182708,3259.430969913017
398,29398.721673431613,5229.0890175074865,5204.732126871558,39832.54281781066
399,22020.54461762683,7319.730695384801,5211.211389380169,34551.486702391805
400,20371.884902036963,3455.1248564651937,2953.7146200325287,26780.724378534687
401,22546.068662418256,5374.955779447743,6847.898397701687,34768.92283956769
