origin_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
219,17883.442352330814,29785.169514374396,47668.61186670521,21560.532825370618,69229.14469207582
220,16752.640648378107,15950.837366557578,32703.478014935685,17238.486989053577,49941.96500398926
221,23982.638006429665,28238.383175747167,52221.02118217683,20997.37569429145,73218.39687646828
222,26015.870665288912,29287.053606899706,55302.92427218862,16780.47100317602,72083.39527536463
223,19645.889432487907,12981.971629946138,32627.861062434044,13849.513880198432,46477.37494263248
224,1925.6682044155682,4419.6136344538945,6345.281838869463,1099.9087827087567,7445.190621578221
225,26268.717115814401,15956.115047466801,42224.8321632812,18281.534027563903,60506.3661908451
226,54404.932966886452,31171.534613905525,85576.46758079197,27979.300996890935,113555.7685776829
227,38188.049810995857,21290.990077295286,59479.03988829114,38788.880336471506,98267.92022476264
228,24316.335488618584,6199.9615285987229,30516.297017217308,31150.91847197764,61667.21548919495
229,70528.45569610667,39758.461571202155,110286.91726730885,101638.78579034412,211925.70305765295
230,33321.754859399029,17271.934782415898,50593.689641814926,44621.716920557985,95215.40656237291
231,25975.528991642885,13962.990566644956,39938.51955828784,8839.270309514302,48777.78986780214
232,21903.885837482714,21625.010557135825,43528.89639461854,25673.374812935836,69202.27120755438
233,33356.095530048333,22159.009034402166,55515.1045644505,26884.964788583085,82400.06935303358
234,23300.690999475977,20069.127942925064,43369.81894240104,38597.51707198051,81967.33601438155
235,24656.758356657872,20052.554350059432,44709.312706717305,40898.823808508314,85608.13651522562
236,14760.482389576448,12241.128882802645,27001.611272379097,6385.790422739759,33387.40169511885
237,11866.206492624207,19075.169838006994,30941.376330631203,8620.29388860091,39561.67021923211
238,11923.506140615793,14749.600126064257,26673.10626668005,5473.1778838644805,32146.284150544532
239,27909.429401360565,18741.302796312531,46650.7321976731,13770.973908674412,60421.70610634751
240,14625.239691720884,22767.916997302822,37393.156689023715,5036.071195751666,42429.22788477538
241,11464.581381389222,15848.617790575372,27313.199171964596,4493.323660194129,31806.522832158724
242,12878.862207273889,17090.320903580963,29969.18311085485,17836.40485835765,47805.5879692125
243,26647.443848253912,37370.245751189781,64017.68959944369,32271.38777391414,96289.07737335784
244,34425.766732638018,19501.427827155836,53927.194559793854,38741.68759005877,92668.88214985262
245,4207.2392980029008,9403.1398008788601,13610.37909888176,11579.423014826692,25189.80211370845
246,17509.335599521648,9677.937448959312,27187.27304848096,15867.40669897038,43054.67974745134
247,42222.008622509718,26127.695394808648,68349.70401731836,37625.214372398266,105974.91838971662
248,1119.7117864322447,375.42692611111124,1495.138712543356,0,1495.138712543356
249,20108.403271278185,12865.039643527003,32973.442914805186,20404.526751106867,53377.96966591205
250,11542.425010693953,27661.244208161825,39203.66921885578,7650.531211775569,46854.20043063135
251,7922.1424106299637,15890.372364089406,23812.51477471937,7811.2005681061955,31623.71534282556
252,11260.451654769517,17230.319055114927,28490.770709884444,6082.342578159323,34573.113288043765
253,3730.1842826169163,4955.7983445110012,8685.982627127918,4802.343587227956,13488.326214355877
254,47592.763603984014,37500.732414904232,85093.49601888825,15905.330930044152,100998.8269489324
255,21862.432685692496,38665.293474098347,60527.72615979085,31344.844922698503,91872.57108248935
256,12418.781654662489,21773.131001330508,34191.912655993,14020.332513807933,48212.245169800924
257,23567.590590599524,15218.349444231057,38785.94003483058,13257.89878287305,52043.838817703625
258,23673.606022232332,22658.936951679374,46332.54297391171,35404.11349073448,81736.65646464619
259,14597.179565873859,9025.3066842254793,23622.48625009934,12275.008275096114,35897.494525195456
260,28638.690886520304,14720.761310659955,43359.45219718026,20426.76844774522,63786.22064492548
261,38024.431469022835,22490.596334201415,60515.02780322425,23461.67569663703,83976.70349986128
262,32486.063509016327,12099.019314170753,44585.08282318709,29075.904084175138,73660.98690736222
263,29018.542001115835,21268.871139036357,50287.413140152195,45317.86147709795,95605.27461725015
264,41136.998740588118,44564.060102148462,85701.05884273659,30631.24914337744,116332.30798611404
265,29225.003573413171,23653.746584854449,52878.75015826762,28966.99684992805,81845.74700819567
266,9216.9240823527598,9322.7614230425388,18539.685505395297,8747.285939543242,27286.97144493854
267,14615.664492959644,21961.178854146357,36576.843347106,20241.81790936123,56818.661256467225
268,10387.819594868773,14934.82808628452,25322.647681153292,3378.9180191370788,28701.56570029037
269,13162.301965776676,31671.561972828291,44833.86393860497,14855.030643802753,59688.89458240773
270,5963.877453750958,13725.474476261972,19689.35193001293,4670.686938920062,24360.038868932992
271,6191.9201943374483,8348.4437648445328,14540.36395918198,542.0936932539845,15082.457652435964
272,12469.798817458988,22630.400322492394,35100.19913995138,5577.004445556367,40677.20358550774
273,33447.925329907026,31297.766476422727,64745.69180632975,23743.099769021726,88488.79157535147
274,46258.122820100303,35500.099027931108,81758.22184803142,15379.504735429471,97137.7265834609
275,32929.433872762827,27746.582696841881,60676.016569604704,14593.024498848075,75269.04106845279
276,46653.300410144497,63461.960858165585,110115.26126831007,31931.63898226713,142046.9002505772
277,16821.139971815901,44579.810255274839,61400.95022709074,8470.713562097522,69871.66378918826
278,73592.820445342266,32321.978522508169,105914.79896785044,74047.88090420919,179962.6798720596
279,35759.874812462236,18741.928981485053,54501.803793947285,22281.297850875868,76783.10164482315
280,23855.599968222192,26606.732328230024,50462.332296452216,6774.387604525195,57236.719900977405
281,20537.514439817147,29079.420670710944,49616.935110528095,10393.649378162356,60010.584488690445
282,16951.076202266791,25282.173991126718,42233.25019339351,15039.420074163114,57272.67026755663
283,5628.8698314401672,12749.148810172177,18378.018641612343,4838.388751020428,23216.40739263277
284,34230.825174485639,17656.014229898003,51886.839404383645,16610.514210212757,68497.3536145964
