destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
61,14403.183042338876,0,6296.621802946307,0,3279.258368922725,13231.632472148536,2497.3210660881136,258.31110402857934,5163.416966530965,2464.4618901188883,0,0,5323.008044916136,0,52917.21475803915
62,5017.223024539986,609.3028534118415,6429.158031743303,0,589.8341766380978,13954.269767804955,4983.542261661315,384.37782552320493,1836.1969505441357,695.1679969924917,0,2428.347344204023,2316.137183325386,0,39243.55741638875
63,11391.039295937073,84.31181019036323,4136.487489738017,0,152.37647734106605,8698.354169187747,2482.2756129911436,0,1243.5834931229465,700.4786765794797,0,151.10764102343092,264.29795293084277,0,29304.31261904209
64,15421.777417691595,506.5563960590874,11758.223795437312,569.9741467052646,1563.4667962829194,26072.40812713639,8809.660626789537,367.376144248854,3182.18141690373,5025.39467504908,142.33483103788416,2334.3458695047593,14634.878725166667,0,90388.57896801307
65,4785.642605244747,0,9276.964933365409,0,1806.1049452933428,14600.87635019504,6915.38051611649,435.80077005101725,2658.693056795974,735.6066342033768,0,2378.383217236259,9862.952361120375,0,53456.40538962199
66,12111.34391391395,0,9263.825413028137,0,359.18634343438885,16168.784784794883,11677.24409783474,133.14331432753377,1969.7197423798395,1501.727440171651,0,203.2515414358956,7766.709418155078,0,61154.93600947613
67,1654.4456547909772,1075.89443671046,5560.359985053249,53.90272709406882,611.2853290066395,8326.668881939107,1757.8043027052804,196.87177947337736,1557.8975645458686,719.978051707393,0,928.9948489365327,2422.476177979982,0,24866.57973994295
68,16455.412969605404,1624.0152615130708,21938.001532563365,0,2043.7855999808955,28403.986520176262,5212.334981883827,561.3874617529303,4820.728332776878,2942.736794091872,0,3119.8987975578357,16686.015603106833,0,103808.30385500932
69,6391.196753888738,1050.664792765763,18133.427932700222,286.08389857747557,2221.729954881738,12058.939618578186,2349.694751631396,241.2785660998314,3192.1087829672324,1746.6390431597515,0,4239.802356533051,11250.725228960837,30.807983639082067,63193.09966438326
70,1876.3263976581352,3046.2273457190977,13881.989776277582,0,679.7171688914362,12097.528971561069,4325.99440973106,39.880564582679945,1723.9435186380229,2262.0929952756674,468.7272964699542,1133.401220838861,12775.494073360693,0,54311.323739004234
