residence_zone,income_up_to_2640,income_2640_5280,income_5280_10560,income_10560_15840,income_above_15840,total
144,14733.864779373507,18743.915076017216,39528.109674457461,22133.91615668701,3107.1943134648036,98247
145,490.83330215837321,2113.7687750581135,2854.1547236500542,1656.2650674124591,878.97813172099836,7993.999999999996
146,-,-,-,-,-,0
147,4441.2252452588637,10515.071892527227,8743.3717699357985,2109.8718854886783,3485.4592067894359,29295.000000000007
148,1113.204855887685,4912.3204953793183,7753.5448670848718,4854.1889965823057,2352.7407850658246,20986.000000000004
149,-,-,-,-,-,0
150,6836.3058952089186,21705.583193806888,23133.110910984193,0,0,51675
151,32477.007503891837,41806.318242695124,21399.451284703631,3596.2911974044682,211.93177130498219,99491.00000000003
152,3524.006602853327,5350.6021204674125,16179.358416512619,7211.4348991659626,3560.5979610006725,35826
153,434.33439052844221,2849.1608103620097,8680.6478056737342,1409.2611715627691,3683.5958218730439,17057
154,2223.9079259657651,12741.819096095918,17396.042477731509,13010.265021339899,3777.9654788669045,49149.99999999999
155,4255.896203286693,15172.110199401895,9400.1464133917125,686.94696342168095,432.90022049801701,29947.999999999996
156,8022.1097957020356,9792.8809519721926,23299.547130405703,0,1395.462121920059,42509.99999999999
157,1306.0420669465761,7345.5981641001572,7992.5149865776002,396.84478237567004,0,17041.000000000004
158,9223.8412267523836,21106.862808623096,16916.283078327029,6225.3224610064572,1891.6904252910222,55363.999999999985
159,4599.3732655042832,29395.398870887722,19784.646064347897,8651.5817992601078,0,62431.000000000015
160,10182.297309713569,12937.467904411733,19756.960594834112,1911.0329086896593,2647.241282350948,47435.00000000002
161,9748.4027819045295,23835.195001435004,12185.187977042273,1140.6828995831088,939.53134003510593,47849.00000000002
162,2372.7100340423685,6482.7042614135626,5571.8292059298101,1057.875281796827,470.88121681743399,15956.000000000004
163,966.0673274035579,12753.326511559873,20161.090207744244,7022.5964190689992,1432.919534223312,42335.999999999985
164,1506.9071855280458,3441.4546703758124,2475.9176031302236,618.72054096592046,0,8043.000000000002
165,315.17916685282631,1694.8811297094164,1325.7221165962619,83.284655719199407,95.932931122295997,3515
166,791.01182353233685,1471.5369106553728,14813.182396560398,7092.2162037236649,6772.0526655282374,30940.000000000007
167,390.47149205537619,2439.2198567503474,6214.5323979250279,2794.5840224644785,3720.1922308047706,15559
168,2110.6345656038538,2824.7238112892078,12158.460369599861,4592.582870277497,3694.598383229586,25381.000000000004
169,6240.3439324407454,6985.4335634158242,12161.952406420427,1906.6388571924294,1876.6312405305828,29171.000000000007
170,5552.5409052238056,9033.4231673361537,17340.26095732443,6199.33974030421,4041.4352298113863,42166.999999999985
171,6737.7671030759147,8204.9880674672168,18707.548933144699,3792.3229517564323,1672.3729445557281,39114.999999999985
172,4494.5644474842084,8621.2273453881135,11384.833233986441,1436.9337239733184,506.44124916791799,26443.999999999996
173,449.28257371403697,9005.4244697404592,14848.079178084769,2972.2331251488358,741.98065331191196,28017.000000000015
174,6831.3053114073582,30021.341836528565,7413.6764965906041,1168.370779999907,1467.3055754735378,46901.99999999998
175,5487.1232089088207,14138.817133490751,14748.193815865543,1744.6951286393642,543.17071309552693,36662.00000000001
176,12217.107837834044,19779.874398317635,10501.453081320411,2730.875209637341,1425.6894728905711,46655
177,2371.0618686556386,8560.9045577559482,3529.033573588415,0,0,14461.000000000002
178,-,-,-,-,-,0
179,-,-,-,-,-,0
180,30103.027963624019,21773.645919363713,15193.226279942126,1459.0998370701448,0,68529
181,2626.5175157780373,17433.41735152718,22333.984635230707,2933.5589305825451,1267.521566881559,46595.00000000002
182,6060.4601667534753,19933.464515617183,15427.478224810216,3841.3571050757105,605.23998774341021,45867.99999999999
183,8454.8256029516378,16998.399632959419,17973.720915677539,2288.1374921495853,530.91635626181096,46245.99999999999
184,2207.8557885878299,7072.012113832443,11434.276992242341,1814.8247999384328,1157.0303053989385,23685.999999999985
185,6083.6107327754207,10909.908854299345,9440.4804129252279,0,0,26433.999999999993
186,614.19847242041374,2814.4012018416015,5667.5678687509153,765.46235001944024,249.37010696762928,10111.000000000002
187,18001.56078127979,23666.959146858688,5027.3594911580358,1829.120580703496,0,48525.00000000001
