destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
218,37739.390339248108,25340.676018025366,63080.06635727348,45272.16308645592,108352.2294437294
219,17351.505663159598,30289.217172630753,47640.72283579035,21560.532825370618,69201.25566116096
220,15788.07281987364,16870.991691987696,32659.064511861336,17238.486989053577,49897.55150091491
221,25799.88851048013,26060.568339386045,51860.456849866176,21446.525188533888,73306.98203840006
222,25354.657452385742,28193.019051599244,53547.676503984985,18090.91038163963,71638.58688562462
223,20221.157588369628,11414.653447378783,31635.81103574841,15067.56808450274,46703.37912025115
224,1925.6682044155682,4419.6136344538945,6345.281838869463,1099.9087827087567,7445.190621578221
225,26935.710185589993,15956.115047466801,42891.82523305679,17990.783323589578,60882.60855664637
226,54937.094628518607,31359.44780460951,86296.54243312811,27475.158185620945,113771.70061874903
227,43246.699936956429,17439.229883174987,60685.929820131416,36806.11080692664,97492.04062705806
228,26408.153985488672,6080.0876284844207,32488.241613973092,31775.02537120737,64263.26698518047
229,69371.989754599199,39040.724181954727,108412.71393655392,101420.34195985718,209833.0558964111
230,33711.305787817917,16301.936697885987,50013.2424857039,45767.87010301695,95781.11258872085
231,25975.528991642885,13962.990566644956,39938.51955828784,8839.270309514302,48777.78986780214
232,21525.811490358996,23106.283765452132,44632.09525581113,23810.584963780733,68442.68021959186
233,33624.991156672855,22317.650474282585,55942.64163095544,26032.68590137018,81975.32753232564
234,24005.123482579558,19401.628312355719,43406.75179493528,38597.51707198051,82004.26886691578
235,27069.562777961892,20052.554350059432,47122.11712802133,39232.34463995589,86354.46176797722
236,13597.274037870266,13815.829962824362,27413.104000694628,6555.489641880344,33968.59364257497
237,13190.266097466723,19173.064384221248,32363.33048168797,8382.561972564064,40745.89245425204
238,12004.94578994161,14573.533962880536,26578.479752822142,5784.114834443024,32362.594587265172
239,27916.428069457623,19001.330334007365,46917.75840346499,13628.285393807631,60546.04379727262
240,14414.047502758367,21365.594090425129,35779.64159318349,5563.856332706972,41343.497925890464
241,11472.063672113502,15993.727847244991,27465.791519358492,4446.261775515496,31912.05329487399
242,13133.309680799437,16900.242316948443,30033.55199774788,17836.40485835765,47869.956856105535
243,28499.20561707886,38121.111305459475,66620.31692253833,33375.59559202927,99995.91251456762
244,31095.035155523761,19755.787371336308,50850.822526860065,38741.68759005877,89592.51011691883
245,4500.9817624292791,9791.151393023305,14292.133155452584,11632.109797908648,25924.24295336123
246,16965.086038294612,10385.188920878831,27350.274959173443,15867.40669897038,43217.68165814382
247,42315.617215830156,25635.78071100518,67951.39792683534,37625.214372398266,105576.61229923362
248,1119.7117864322447,375.42692611111124,1495.138712543356,0,1495.138712543356
249,19343.442921530252,13589.893711311195,32933.33663284145,20404.526751106867,53337.863383948315
250,9973.5467986243802,28372.745238856369,38346.29203748075,7213.196165644661,45559.48820312541
251,7794.24836000902,16027.301901559662,23821.55026156868,7857.381201665352,31678.931463234032
252,11326.562570363714,17438.625608110975,28765.188178474687,5820.329772026989,34585.51795050168
253,3815.6204699971354,4556.5193099221706,8372.139779919306,4703.85423835348,13075.994018272784
254,47945.407143544762,39405.792396788856,87351.19954033362,15711.809454060349,103063.00899439395
255,21064.790730848254,39004.712963174366,60069.50369402262,31344.844922698503,91414.34861672112
256,11793.680882256998,20211.630444827108,32005.311327084102,16374.612092452113,48379.923419536215
257,22959.225818851435,15370.5132542019,38329.73907305334,13257.89878287305,51587.63785592638
258,24588.362649003142,23884.058489712537,48472.42113871568,33603.449347730784,82075.87048644647
259,14345.099308325156,8892.6248990766362,23237.724207401792,12275.008275096114,35512.73248249791
260,28801.143300571141,14942.983633001813,43744.12693357295,20426.76844774522,64170.89538131817
261,39867.157026163717,21285.113354402074,61152.270380565795,23461.67569663703,84613.94607720283
