residence_zone,male,female,no_response,total
134,13330.482842820797,18735.517157179216,0,32066.000000000015
135,14735.739754783974,19924.260245216024,0,34660
136,16987.576608251722,15106.423391748272,0,32093.999999999993
137,18492.475147213994,31950.524852785966,0,50442.99999999995
138,5187.4536858332795,6723.546314166726,0,11911.000000000004
139,12973.578286153486,14594.421713846517,0,27568.000000000004
140,18536.007701875431,26404.992298124562,0,44940.99999999999
141,36990.773042901223,45740.226957098777,0,82731
142,32803.335564821318,30622.156847379702,771.50758779901798,64197.00000000003
143,-,-,-,0
144,44946.735398457364,53300.264601542651,0,98247.00000000001
145,3649.8668776145141,4344.1331223854841,0,7993.999999999998
146,-,-,-,0
147,14084.323634926974,15210.676365073021,0,29294.999999999993
148,10076.266108142794,10909.733891857204,0,20986
149,-,-,-,0
150,23436.70911271538,28238.290887284624,0,51675
151,50855.352157257912,48635.647842742161,0,99491.00000000007
152,15512.089141593295,20313.910858406711,0,35826.00000000001
153,9225.9904893937855,7831.0095106062136,0,17057
154,23094.229042461935,26055.770957538065,0,49150
155,12029.088848655181,17918.911151344822,0,29948.000000000004
156,20819.847261394116,21690.152738605881,0,42510
157,7060.5060734775452,9980.4939265224602,0,17041.000000000007
158,23210.321959685967,32153.678040314022,0,55363.999999999985
159,32610.151877654716,29820.848122345284,0,62431
160,21728.102208379427,25706.897791620584,0,47435.000000000015
161,22029.600694684894,25819.399305315128,0,47849.00000000002
162,8984.8090842827041,6971.1909157172959,0,15956
163,22962.734589360589,19373.2654106394,0,42335.999999999985
164,3866.5951223410225,4176.4048776589798,0,8043.000000000002
165,1438.2773946805974,2076.7226053194017,0,3514.999999999999
166,16923.58685124703,14016.413148752981,0,30940.00000000001
167,7651.3837818850461,7907.616218114953,0,15559
168,10818.838762204616,14562.161237795393,0,25381.000000000007
169,12282.110777055497,16888.889222944505,0,29171
170,21893.787651076222,20273.212348923775,0,42167
171,20335.299791960828,18779.700208039154,0,39114.999999999985
172,14175.434320533041,12268.565679466956,0,26443.999999999996
173,11451.965107631569,16565.034892368436,0,28017.000000000007
174,20466.446768263137,26435.553231736823,0,46901.99999999995
175,17277.795244554778,19384.204755445237,0,36662.000000000015
176,22350.757049755393,24304.24295024461,0,46655
177,6521.3193408784909,7939.68065912151,0,14461
178,-,-,-,0
179,-,-,-,0
180,28805.895173542351,39723.104826457653,0,68529
181,20869.719613919853,25725.280386080165,0,46595.000000000015
182,21191.977080048429,24676.022919951585,0,45868.000000000015
183,20571.224279959122,25674.775720040878,0,46246
184,11909.480933878252,11776.519066121731,0,23685.999999999985
185,12426.374895690366,14007.625104309636,0,26434
186,3960.4495936426651,6150.5504063573362,0,10111.000000000002
187,23780.673082694855,24528.817994109831,215.50892319533,48525.000000000015
188,16204.503784441364,12562.496215558642,0,28767.000000000007
