residence_zone,formal_employee,informal_employee,public_employee,independent_professional,self_employed_registered,self_employed_unregistered,employer,family_business_owner,family_worker,total
21,3627.2419583625847,733.3058991549723,1063.7012718521028,620.5402070506368,1794.28465783765,990.9043032029412,337.2226360121309,126.136558778322,0,9293.337492251336
22,3527.4663466968696,47.301035138013,1118.9949449144694,634.5800317050758,716.5150938890282,321.71271827990506,66.4599678379874,369.185577634753,0,6802.2157160960915
23,873.8319621741931,279.1630067988109,0,305.4754567318878,585.0922791319347,98.65008916363601,0,0,0,2142.212794000462
24,2736.764316719561,848.7456259512759,447.02527816847373,266.1001921243482,261.6060206992376,989.3003856013273,104.738671594247,0,0,5654.28049085847
25,7751.7755317962155,0,81.1789446566838,0,705.9400710626987,2402.3623781395213,0,0,0,10941.256925655116
26,2802.1664135884675,244.8629152665436,406.5716043022473,1108.9107768808892,1655.0671176894418,407.214875700986,440.95751661249,0,0,7065.7512200410665
27,3197.0819411989,51.9474450782051,351.1610019716613,1255.0857853956427,1614.7224887762372,1699.6194402915487,0,543.881934659054,35.8894769927096,8749.389514363947
28,1819.0088248357688,33.6347593076081,303.27338818023634,517.9397976807637,945.6418900782045,556.3231925033459,165.74367702071788,247.2125975043792,0,4588.778127111022
29,3676.007825372749,0,514.606507032979,88.2541906028453,1676.1551921594107,306.36946901407197,0,0,0,6261.393184182059
30,3667.761962484497,307.4079883979658,806.0075039666093,1155.326018572346,2424.699872136181,539.8732086724606,785.7072110099845,179.86929311644909,22.699363282696705,9889.352421639196
31,5204.3026400429335,688.9949151999134,1350.8246751903462,2548.812166893768,2141.3905192082625,1792.718577057145,1016.080850754906,0,0,14743.124344347283
32,1864.2211783834805,163.8797522729582,232.047870065136,408.8509121597316,977.5130984152244,950.9648414528831,45.9960470333763,54.5364443904122,0,4698.010144173207
33,455.1206564853623,19.25,63.161616161616166,143.4570923865041,98.51996434937607,94.0167389314448,34.3888888888889,0,0,907.9149572031927
34,1320.3662600826287,19.470588235294105,105.2777777777778,929.1927000677643,995.903346667541,324.41237567490776,72.50289855072461,156.6464882943144,0,3923.772435350956
35,12635.611299692126,1510.944911104096,1139.326905877669,556.164219485654,2321.774403900237,3959.1304547172463,570.163557488803,0,0,22693.115752265832
36,10136.68982851918,121.393785583292,2904.126546317091,2254.7002566095334,7211.5886463341185,2899.498686004762,89.5022347343251,126.829223271886,0,25744.329207374187
37,2558.277434918583,418.5897407720657,117.01762350673638,0,1423.7813106971437,399.56522454053334,0,73.5298208257789,97.3430961319743,5088.104251392816
38,701.1431784589676,120.4327485380116,46.8846153846154,0,406.4660690187003,922.9385775043668,34.1111111111111,92.9184499710815,136.83333333333331,2461.728083320188
39,2595.5334237175325,310.8611724159012,267.1446525316892,91.03426131748,523.1402977319511,1732.466055685908,95.3742042690157,261.594132453459,261.594132453459,6138.742332576397
40,1793.7592300178785,148.14007219646132,46.306677823311105,141.21824128233413,1104.3488484142706,984.8103013452983,40.2277050004703,74.8591583925224,54.8095076790117,4388.479742151562
41,6918.769889850119,954.4230802508822,441.6163840377136,261.0857493202145,936.724107853069,1638.219634401847,0,0,0,11150.838845713834
42,1184.743587747161,285.18021947987205,68.5260936671008,175.941132494091,750.8269737914932,1047.37154593666,0,111.8186397117086,0,3624.408192828087
43,4479.527633976701,423.6697392029175,1587.6814258684726,1705.8597209680247,4476.756665624873,2077.236759011489,1306.6035161592529,878.6059171408001,39.6984898481471,16975.6398678007
44,1480.8581065036342,27.9068738790519,718.1955916009392,1045.6653117187989,2175.793912983676,2699.5352035422584,190.403452606832,508.99219231488297,0,8847.350645150078
