residence_zone,no_cars,one_car,two_cars,three_or_more_cars,total_families
372,11177.079999999994,9719.199999999997,3401.72,0,24297.999999999993
373,8855,9240,1925,0,20020
374,10040.470588235305,10458.823529411771,836.7058823529421,0,21336.000000000015
375,,,,0,0
376,13800.080000000004,9857.2,985.72,0,24643.000000000007
377,8459.176470588249,7483.117647058835,650.705882352942,0,16593.000000000025
378,39971.68000000002,25150.71999999999,1796.48,449.12,67368.00000000001
379,19078.193548387106,14308.645161290322,2980.9677419354853,596.193548387097,36964.00000000001
380,8482.714285714299,8836.160714285728,1767.2321428571447,706.892857142858,19793.000000000033
381,15782.72727272728,17676.65454545455,631.309090909091,631.309090909091,34722.00000000001
382,,,,0,0
383,13645.571428571418,19578.42857142856,593.285714285714,0,33817.285714285696
384,16115.400000000003,9132.060000000001,1611.54,0,26859.000000000007
385,6628.666666666662,3314.3333333333294,0,0,9942.999999999993
386,,,,0,0
387,603.1999999999998,649.5999999999998,46.4,92.8,1391.9999999999998
388,13142.500000000004,12091.100000000004,1051.4,0,26285.00000000001
389,715.5,1113,556.5,0,2385
390,7300.919999999998,7964.639999999997,1327.44,0,16592.999999999996
391,1562.7333333333374,2415.1333333333396,284.133333333334,0,4262.000000000011
392,,,,0,0
393,,,,0,0
394,13777.71875,16153.1875,475.09375,475.09375,30881.09375
395,,,,0,0
396,21943.917525773224,13897.8144329897,731.463917525774,0,36573.1958762887
397,3339.7647058823504,3200.6078431372525,556.627450980392,139.156862745098,7236.156862745092
398,11175.483870967755,15831.935483870997,1862.580645161292,0,28870.000000000044
399,17165.000000000004,15967.441860465116,1197.558139534884,399.186046511628,34729.18604651163
400,15077.680000000026,5851.04,1575.28,0,22504.000000000025
401,19139.168539325856,21473.213483146083,0,933.6179775280901,41546.00000000003
402,14476.417322834635,11958.779527559043,419.606299212598,419.606299212598,27274.40944881888
403,20401.777949475905,17487.238242407904,1619.1887261488805,0,39508.20491803269
404,21447.798319327743,29205.512605042015,4107.025210084038,0,54760.33613445379
405,3592.925925925928,4246.185185185187,1143.2037037037053,163.314814814815,9145.629629629637
406,2521.684210526303,3677.4561403508583,0,0,6199.140350877162
407,10470.625,18561.5625,1427.8125,0,30460
408,6995.999999999995,8328.571428571424,999.428571428571,0,16323.999999999993
409,4666.830188679246,6631.81132075472,1719.3584905660382,0,13018.000000000004
410,24000.162162162156,17714.40540540539,571.432432432432,0,42285.99999999998
411,9254.692307692323,8657.615384615397,1194.153846153848,298.538461538462,19405.00000000003
412,3884.7368421052593,2913.5526315789443,194.236842105263,388.473684210526,7380.999999999992
413,2158.7799999999993,2252.6399999999994,281.58,0,4692.999999999998
