origin_zone,public_transport_minutes,individual_transport_minutes,walking,bicycle
390,51.151255389247474,24.205468628799935,9.224522054165984,11.559154065283282
391,42.35294478527608,23.094306950119027,0,10
392,-,-,-,-
393,-,-,-,-
394,81.627348438002471,34.124237526962283,0,14.849862776604803
395,-,-,-,-
396,69.439733516217302,25.927199068395048,12.5,12.194709755197684
397,73.255295907693949,33.759621526440839,0,9.6406937147310092
398,81.567572011672382,19.411613345992382,17.5,16.41343992154313
399,83.70216950808927,32.596130944204354,47.45838978681239,16.409554907505754
400,69.428544562953107,19.35226146648505,35.525396696083803,15.049232698764646
401,71.82980572561182,35.747014221418695,40.985205616850529,15.059458233994064
402,66.78165711173196,35.677976414749679,25.623031889746628,12.697620382155456
403,60.102072503548484,35.495836628595242,18.484075863302916,15.468489051733302
404,63.80036645324212,18.810525454118793,26.333497753988478,15.046149824639718
405,56.465309731381026,35.223350497404553,18.153320457584311,14.216501669906316
406,57.639035263283269,32.049091089581246,44.054774890050794,7.0622048372574842
407,47.898051302581983,15.217274789159223,0,14.377352316393518
408,55.694456132595228,18.083441680997982,10,13.724231615974821
409,50.764528899423709,21.379714568623807,0,12.147660301802786
410,58.707058105329466,23.743444720673292,57.262322575277274,16.795165230710136
411,54.052909778138655,24.06301290053149,16.15691731453656,11.42552929708957
412,63.003440767178851,36.338382584837277,0,7.9044606757228442
413,51.240122703831027,35.827433963839219,21.930835734870318,12.329665993303834
414,48.747931456442601,40.54561969361761,0,11.022105025106089
415,46.662153196226811,32.92565138091247,30,16.012629572168368
416,62.656145021182731,22.205235891952487,0,18.026646030285278
417,-,-,-,-
418,40.036757372140258,25.710337884192171,0,12.094399247904907
419,-,-,-,-
420,73.402246451953928,19.88442218793999,0,15.136483702266695
421,-,-,-,-
422,71.230412274085253,20.651658084201518,13.041364974547237,14.639424944614461
423,-,-,-,-
424,43.260347335830723,21.31361615937498,0,13.416505316330186
425,45.416093657596505,27.08778545042103,30,11.29029480320693
426,66.219768481447687,26.928290876967139,15,16.333403932055262
427,44.360566179105064,23.131099133257759,36.703257060399913,13.771487509266835
428,49.116856221883644,31.991905788353236,29.302983518351034,13.598553373066039
429,48.794577099931359,24.905285725643196,0,11.61479820787445
430,34.601903420905302,30.143478750153609,0,16.417562220316469
431,48.305507918099615,27.712633496648159,0,10.081984615972573
432,59.759576033804692,22.836920333584342,20,17.98314725816644
433,61.990104791712248,32.440088730909807,20,14.816553656803737
434,54.721596338697665,34.672659556202348,20,10.555260055705945
435,40.879446639855459,31.724401747004055,25,12.632586456234225
436,60.056931450847266,27.907755132753532,32.666666666666664,16.752099776281568
437,46.889228729851915,25.292847894989706,0,13.3441852341216
438,56.219664023108578,32.470574983273011,0,16.452541580130369
439,57.708138657340712,23.898032817624202,0,14.528245388521894
440,59.513404080669126,28.601265617109171,0,12.696747269559577
441,69.984340819700179,49.229552536435044,30,14.665109034267914
442,52.287331531789242,34.795621283277988,0,12.803229464810553
443,57.684264634701847,29.275694796285212,34.400636813368806,15.756754358069733
444,66.223564228965728,30.335338367027827,10,18.407025601333427
445,63.074570808400047,33.370148950991315,0,17.309702702913757
446,58.000059235802574,34.358128946622948,0,17.993889699006431
447,37.857611973416979,28.389297103965532,0,17.003611106787165
448,64.901042980765851,29.317477524749375,0,10.251379141338873
