household_id,family_id,first_family_record,family_expansion_factor,family_number,family_resident_count,housing_tenure,bathroom_count,domestic_employee_count,car_count,computer_count,dishwasher_count,single_door_refrigerator_count,freezer_count,washing_machine_count,dvd_count,microwave_count,motorcycle_count,clothes_dryer_count,bicycle_count,comfort_items_declaration,brazil_economic_class,brazil_economic_score,car_1_year,car_2_year,car_3_year,family_monthly_income,family_income_code
14500105,145001051,1,55.84,1,4,2,3,1,3,2,0,1,1,1,1,2,0,0,2,N,1,51,2018,2016,2020,28911.65,3
14500106,145001061,1,55.84,1,4,1,2,0,1,1,0,1,1,1,2,1,1,0,1,N,3,35,2017,,,9433.29,3
14500109,145001091,1,55.84,1,4,2,3,0,2,3,1,1,1,1,1,1,0,1,0,N,1,50,2023,2023,,26957.05,3
14500120,145001201,1,55.84,1,1,1,3,0,0,1,0,1,1,1,1,1,1,1,0,N,2,38,,,,11637.64,3
14500236,145002361,1,55.84,1,3,2,2,0,1,0,0,1,1,1,0,1,2,0,0,N,4,28,2012,,,4000,1
14500251,145002511,1,55.84,1,1,2,1,0,1,2,0,1,1,1,1,1,0,0,0,N,3,31,2009,,,6000,1
14500272,145002721,1,55.84,1,4,1,3,0,0,6,0,1,1,1,1,1,0,0,0,N,2,43,,,,9000,1
14500275,145002751,1,55.84,1,5,2,2,0,0,1,0,1,1,1,0,1,0,0,0,N,3,31,,,,6800,1
14700003,147000031,1,204.294118,1,3,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,17,,,,3100,1
14700007,147000071,1,204.294118,1,3,2,1,0,0,1,0,1,0,1,1,1,0,0,1,N,5,21,,,,4500,1
14700008,147000081,1,204.294118,1,2,1,1,0,1,1,0,1,1,1,0,1,0,0,0,N,4,27,1998,,,5388.38,3
14700009,147000091,1,204.294118,1,2,2,1,0,0,1,0,1,1,1,0,1,0,0,0,N,5,21,,,,4400,1
14700011,147000111,1,204.294118,1,3,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,17,,,,4450,1
14700015,147000151,1,204.294118,1,3,2,1,0,1,1,1,1,1,1,1,1,1,1,1,N,3,37,2020,,,10850.86,3
14700017,147000171,1,204.294118,1,4,2,4,0,3,1,0,1,1,1,0,0,0,0,1,N,2,44,2005,2004,2003,9000,1
14700025,147000251,1,204.294118,1,3,2,1,0,2,2,0,1,1,1,0,1,0,0,2,N,3,32,2011,2007,,8500,1
14700026,147000261,1,204.294118,1,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,N,6,15,,,,2000,1
14700031,147000311,1,204.294118,1,5,2,1,0,0,1,0,1,0,1,1,1,0,0,0,N,5,21,,,,2000,1
14700034,147000341,1,204.294118,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,N,5,17,,,,2000,1
14700037,147000371,1,204.294118,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,N,5,19,,,,3077.89,3
14700038,147000381,1,204.294118,1,4,2,1,0,1,1,0,1,0,1,0,1,0,0,0,N,5,21,2002,,,3540.42,3
14700039,147000391,1,204.294118,1,3,2,2,0,2,1,0,1,1,1,0,1,0,0,1,N,3,36,2020,2012,,8000,1
14700056,147000561,1,204.294118,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,N,3,31,2018,,,2800,1
14700063,147000631,1,204.294118,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,N,5,19,,,,3077.89,3
14700069,147000691,1,204.294118,1,3,2,1,0,1,0,0,1,1,1,0,1,0,0,0,N,4,24,2018,,,4367.74,3
14700076,147000761,1,204.294118,1,1,2,1,0,1,0,0,1,1,1,0,1,0,0,0,N,4,27,1999,,,5388.38,3
14700079,147000791,1,204.294118,1,3,2,2,0,2,1,2,1,1,1,1,1,2,1,1,N,1,48,2021,2022,,23435.33,3
14700081,147000811,1,204.294118,1,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,17,,,,2675.79,3
14700083,147000831,1,204.294118,1,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,N,5,17,,,,1800,1
14700089,147000891,1,204.294118,1,3,2,1,0,1,3,0,1,0,1,1,1,0,0,0,N,3,31,2015,,,15000,1
14700090,147000901,1,204.294118,1,5,2,3,0,2,1,0,1,1,1,0,1,0,0,1,N,2,39,2019,2017,,19000,1
14700092,147000921,1,204.294118,1,1,2,1,0,0,0,0,1,1,0,0,1,0,0,0,N,6,15,,,,1600,1
14700092,147000922,1,204.294118,2,2,2,1,0,0,1,0,1,1,1,0,1,0,0,0,N,5,21,,,,3540.42,3
14700103,147001031,1,204.294118,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,N,3,37,2023,,,10850.86,3
14700108,147001081,1,204.294118,1,3,2,3,0,2,1,0,1,1,1,0,1,0,0,0,N,3,36,2016,2012,,10117.28,3
14700109,147001091,1,204.294118,1,2,2,1,0,1,1,0,1,1,1,0,1,0,0,0,N,4,27,2012,,,5388.38,3
14700124,147001241,1,204.294118,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,N,5,18,,,,2869.81,3
14700137,147001371,1,204.294118,1,1,2,3,0,1,1,0,1,1,1,0,0,0,0,0,N,3,35,1999,,,3000,1
14700162,147001621,1,204.294118,1,3,1,1,0,0,3,0,1,1,1,0,1,0,0,0,N,3,29,,,,3510,1
14700172,147001721,1,204.294118,1,2,2,3,0,1,2,0,1,1,1,0,1,0,0,0,N,2,40,2022,,,12000,1
14700178,147001781,1,204.294118,1,3,2,1,0,1,1,0,1,1,1,0,1,0,0,0,N,4,27,2010,,,5388.38,3
